Category: All categories

Week,Elden Ring: (Worldwide)
2020-12-27,5
2021-01-03,5
2021-01-10,6
2021-01-17,5
2021-01-24,6
2021-01-31,5
2021-02-07,5
2021-02-14,6
2021-02-21,5
2021-02-28,8
2021-03-07,5
2021-03-14,6
2021-03-21,4
2021-03-28,3
2021-04-04,5
2021-04-11,5
2021-04-18,4
2021-04-25,4
2021-05-02,5
2021-05-09,3
2021-05-16,3
2021-05-23,2
2021-05-30,3
2021-06-06,9
2021-06-13,7
2021-06-20,4
2021-06-27,3
2021-07-04,3
2021-07-11,3
2021-07-18,2
2021-07-25,3
2021-08-01,4
2021-08-08,4
2021-08-15,4
2021-08-22,6
2021-08-29,3
2021-09-05,3
2021-09-12,2
2021-09-19,2
2021-09-26,4
2021-10-03,0
2021-10-10,2
2021-10-17,5
2021-10-24,3
2021-10-31,8
2021-11-07,7
2021-11-14,6
2021-11-21,5
2021-11-28,4
2021-12-05,4
2021-12-12,5
2021-12-19,6
2021-12-26,5
2022-01-02,7
2022-01-09,6
2022-01-16,9
2022-01-23,9
2022-01-30,12
2022-02-06,18
2022-02-13,25
2022-02-20,80
2022-02-27,100
2022-03-06,90
2022-03-13,85
2022-03-20,63
2022-03-27,53
2022-04-03,48
2022-04-10,41
2022-04-17,39
2022-04-24,28
2022-05-01,22
2022-05-08,22
2022-05-15,17
2022-05-22,17
2022-05-29,18
2022-06-05,15
2022-06-12,16
2022-06-19,13
2022-06-26,12
2022-07-03,11
2022-07-10,12
2022-07-17,11
2022-07-24,10
2022-07-31,10
2022-08-07,12
2022-08-14,8
2022-08-21,10
2022-08-28,9
2022-09-04,8
2022-09-11,9
2022-09-18,9
2022-09-25,7
2022-10-02,6
2022-10-09,8
2022-10-16,6
2022-10-23,6
2022-10-30,6
2022-11-06,7
2022-11-13,7
2022-11-20,9
2022-11-27,7
2022-12-04,17
2022-12-11,10
2022-12-18,10
2022-12-25,13
2023-01-01,13
2023-01-08,10
2023-01-15,11
2023-01-22,11
2023-01-29,9
2023-02-05,9
2023-02-12,9
2023-02-19,16
2023-02-26,14
2023-03-05,10
2023-03-12,9
2023-03-19,10
2023-03-26,10
2023-04-02,7
2023-04-09,9
2023-04-16,7
2023-04-23,7
2023-04-30,7
2023-05-07,8
2023-05-14,8
2023-05-21,6
2023-05-28,4
2023-06-04,5
2023-06-11,5
2023-06-18,6
2023-06-25,5
2023-07-02,5
2023-07-09,5
2023-07-16,5
2023-07-23,6
2023-07-30,5
2023-08-06,5
2023-08-13,6
2023-08-20,7
2023-08-27,5
2023-09-03,5
2023-09-10,5
2023-09-17,6
2023-09-24,6
2023-10-01,5
2023-10-08,5
2023-10-15,5
2023-10-22,5
2023-10-29,6
2023-11-05,4
2023-11-12,6
2023-11-19,4
2023-11-26,4
2023-12-03,6
2023-12-10,6
2023-12-17,7
2023-12-24,9
2023-12-31,8
2024-01-07,9
2024-01-14,9
2024-01-21,10
2024-01-28,10
2024-02-04,13
2024-02-11,10
2024-02-18,24
2024-02-25,10
2024-03-03,9
2024-03-10,8
2024-03-17,8
2024-03-24,7
2024-03-31,6
2024-04-07,6
2024-04-14,5
2024-04-21,5
2024-04-28,6
2024-05-05,6
2024-05-12,7
2024-05-19,8
2024-05-26,11
2024-06-02,12
2024-06-09,17
2024-06-16,59
2024-06-23,62
2024-06-30,38
2024-07-07,20
2024-07-14,16
