Category: All categories

Week,Elden Ring: (Worldwide)
2020-12-27,<1
2021-01-03,<1
2021-01-10,<1
2021-01-17,<1
2021-01-24,<1
2021-01-31,<1
2021-02-07,<1
2021-02-14,<1
2021-02-21,<1
2021-02-28,2
2021-03-07,<1
2021-03-14,<1
2021-03-21,<1
2021-03-28,<1
2021-04-04,<1
2021-04-11,<1
2021-04-18,<1
2021-04-25,<1
2021-05-02,<1
2021-05-09,<1
2021-05-16,<1
2021-05-23,<1
2021-05-30,<1
2021-06-06,7
2021-06-13,3
2021-06-20,1
2021-06-27,1
2021-07-04,<1
2021-07-11,<1
2021-07-18,<1
2021-07-25,<1
2021-08-01,<1
2021-08-08,<1
2021-08-15,<1
2021-08-22,1
2021-08-29,1
2021-09-05,<1
2021-09-12,<1
2021-09-19,<1
2021-09-26,<1
2021-10-03,<1
2021-10-10,1
2021-10-17,1
2021-10-24,<1
2021-10-31,5
2021-11-07,6
2021-11-14,3
2021-11-21,1
2021-11-28,1
2021-12-05,2
2021-12-12,2
2021-12-19,1
2021-12-26,1
2022-01-02,1
2022-01-09,2
2022-01-16,2
2022-01-23,2
2022-01-30,3
2022-02-06,3
2022-02-13,6
2022-02-20,39
2022-02-27,88
2022-03-06,100
2022-03-13,92
2022-03-20,86
2022-03-27,69
2022-04-03,59
2022-04-10,53
2022-04-17,45
2022-04-24,38
2022-05-01,31
2022-05-08,26
2022-05-15,23
2022-05-22,20
2022-05-29,19
2022-06-05,18
2022-06-12,16
2022-06-19,14
2022-06-26,13
2022-07-03,12
2022-07-10,12
2022-07-17,12
2022-07-24,11
2022-07-31,11
2022-08-07,11
2022-08-14,10
2022-08-21,10
2022-08-28,9
2022-09-04,9
2022-09-11,10
2022-09-18,9
2022-09-25,8
2022-10-02,8
2022-10-09,8
2022-10-16,7
2022-10-23,7
2022-10-30,7
2022-11-06,7
2022-11-13,8
2022-11-20,8
2022-11-27,8
2022-12-04,12
2022-12-11,13
2022-12-18,13
2022-12-25,18
2023-01-01,20
2023-01-08,18
2023-01-15,17
2023-01-22,16
2023-01-29,15
2023-02-05,14
2023-02-12,13
2023-02-19,13
2023-02-26,14
2023-03-05,13
2023-03-12,12
2023-03-19,12
2023-03-26,11
2023-04-02,11
2023-04-09,10
2023-04-16,10
2023-04-23,9
2023-04-30,9
2023-05-07,8
2023-05-14,8
2023-05-21,8
2023-05-28,7
2023-06-04,7
2023-06-11,7
2023-06-18,7
2023-06-25,7
2023-07-02,8
2023-07-09,8
2023-07-16,8
2023-07-23,8
2023-07-30,9
2023-08-06,8
2023-08-13,8
2023-08-20,8
2023-08-27,8
2023-09-03,7
2023-09-10,7
2023-09-17,6
2023-09-24,6
2023-10-01,6
2023-10-08,7
2023-10-15,7
2023-10-22,8
2023-10-29,7
2023-11-05,7
2023-11-12,7
2023-11-19,6
2023-11-26,7
2023-12-03,7
2023-12-10,7
2023-12-17,8
2023-12-24,11
2023-12-31,12
2024-01-07,12
2024-01-14,12
2024-01-21,11
2024-01-28,10
2024-02-04,10
2024-02-11,10
2024-02-18,22
2024-02-25,18
2024-03-03,16
2024-03-10,13
2024-03-17,13
2024-03-24,12
2024-03-31,11
2024-04-07,10
2024-04-14,9
2024-04-21,9
2024-04-28,9
2024-05-05,9
2024-05-12,12
2024-05-19,17
2024-05-26,15
2024-06-02,15
2024-06-09,17
2024-06-16,38
2024-06-23,67
2024-06-30,53
2024-07-07,47
2024-07-14,39
