Category: All categories

Week,A Plague Tale: Requiem: (Worldwide)
2021-12-26,1
2022-01-02,2
2022-01-09,1
2022-01-16,1
2022-01-23,1
2022-01-30,1
2022-02-06,1
2022-02-13,1
2022-02-20,2
2022-02-27,1
2022-03-06,1
2022-03-13,1
2022-03-20,1
2022-03-27,1
2022-04-03,1
2022-04-10,1
2022-04-17,1
2022-04-24,1
2022-05-01,1
2022-05-08,1
2022-05-15,1
2022-05-22,1
2022-05-29,1
2022-06-05,2
2022-06-12,5
2022-06-19,6
2022-06-26,3
2022-07-03,2
2022-07-10,2
2022-07-17,2
2022-07-24,1
2022-07-31,1
2022-08-07,2
2022-08-14,3
2022-08-21,3
2022-08-28,2
2022-09-04,3
2022-09-11,3
2022-09-18,3
2022-09-25,4
2022-10-02,7
2022-10-09,14
2022-10-16,100
2022-10-23,50
2022-10-30,31
2022-11-06,23
2022-11-13,21
2022-11-20,13
2022-11-27,12
2022-12-04,13
2022-12-11,12
2022-12-18,11
2022-12-25,13
2023-01-01,13
2023-01-08,10
2023-01-15,10
2023-01-22,9
2023-01-29,8
2023-02-05,7
2023-02-12,6
2023-02-19,6
2023-02-26,5
2023-03-05,5
2023-03-12,6
2023-03-19,5
2023-03-26,5
2023-04-02,5
2023-04-09,5
2023-04-16,4
2023-04-23,4
2023-04-30,4
2023-05-07,5
2023-05-14,4
2023-05-21,4
2023-05-28,4
2023-06-04,3
2023-06-11,4
2023-06-18,4
2023-06-25,4
2023-07-02,4
2023-07-09,4
2023-07-16,4
2023-07-23,4
2023-07-30,5
2023-08-06,4
2023-08-13,4
2023-08-20,3
2023-08-27,4
2023-09-03,3
2023-09-10,3
2023-09-17,3
2023-09-24,3
2023-10-01,3
2023-10-08,3
2023-10-15,3
2023-10-22,3
2023-10-29,3
2023-11-05,3
2023-11-12,3
2023-11-19,4
2023-11-26,4
2023-12-03,3
2023-12-10,3
2023-12-17,3
2023-12-24,10
2023-12-31,21
2024-01-07,17
2024-01-14,14
2024-01-21,12
2024-01-28,11
2024-02-04,10
2024-02-11,7
2024-02-18,6
2024-02-25,5
2024-03-03,5
2024-03-10,4
2024-03-17,5
2024-03-24,5
2024-03-31,4
2024-04-07,4
2024-04-14,3
2024-04-21,4
2024-04-28,3
2024-05-05,3
2024-05-12,3
2024-05-19,3
2024-05-26,4
2024-06-02,3
2024-06-09,3
2024-06-16,3
2024-06-23,3
2024-06-30,3
