Category: All categories

Week,As Dusk Falls: (Worldwide)
2021-12-26,0
2022-01-02,<1
2022-01-09,0
2022-01-16,<1
2022-01-23,0
2022-01-30,<1
2022-02-06,0
2022-02-13,0
2022-02-20,<1
2022-02-27,0
2022-03-06,<1
2022-03-13,0
2022-03-20,0
2022-03-27,0
2022-04-03,0
2022-04-10,<1
2022-04-17,0
2022-04-24,<1
2022-05-01,0
2022-05-08,<1
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,1
2022-06-12,15
2022-06-19,7
2022-06-26,4
2022-07-03,7
2022-07-10,10
2022-07-17,100
2022-07-24,85
2022-07-31,53
2022-08-07,24
2022-08-14,17
2022-08-21,13
2022-08-28,11
2022-09-04,11
2022-09-11,10
2022-09-18,8
2022-09-25,7
2022-10-02,6
2022-10-09,7
2022-10-16,6
2022-10-23,5
2022-10-30,5
2022-11-06,5
2022-11-13,8
2022-11-20,7
2022-11-27,7
2022-12-04,13
2022-12-11,10
2022-12-18,8
2022-12-25,10
2023-01-01,8
2023-01-08,7
2023-01-15,8
2023-01-22,8
2023-01-29,6
2023-02-05,5
2023-02-12,5
2023-02-19,5
2023-02-26,5
2023-03-05,3
2023-03-12,4
2023-03-19,5
2023-03-26,4
2023-04-02,4
2023-04-09,5
2023-04-16,4
2023-04-23,5
2023-04-30,4
2023-05-07,5
2023-05-14,5
2023-05-21,4
2023-05-28,4
2023-06-04,5
2023-06-11,4
2023-06-18,4
2023-06-25,4
2023-07-02,4
2023-07-09,5
2023-07-16,4
2023-07-23,4
2023-07-30,5
2023-08-06,5
2023-08-13,5
2023-08-20,6
2023-08-27,5
2023-09-03,4
2023-09-10,4
2023-09-17,4
2023-09-24,4
2023-10-01,4
2023-10-08,4
2023-10-15,2
2023-10-22,3
2023-10-29,3
2023-11-05,3
2023-11-12,4
2023-11-19,7
2023-11-26,3
2023-12-03,5
2023-12-10,4
2023-12-17,5
2023-12-24,5
2023-12-31,5
2024-01-07,4
2024-01-14,5
2024-01-21,4
2024-01-28,4
2024-02-04,4
2024-02-11,4
2024-02-18,4
2024-02-25,4
2024-03-03,5
2024-03-10,8
2024-03-17,7
2024-03-24,5
2024-03-31,5
2024-04-07,4
2024-04-14,4
2024-04-21,4
2024-04-28,3
2024-05-05,3
2024-05-12,3
2024-05-19,3
2024-05-26,3
2024-06-02,3
2024-06-09,3
2024-06-16,4
2024-06-23,4
2024-06-30,4
