Category: All categories

Week,Cult of the Lamb: (Worldwide)
2021-12-26,0
2022-01-02,<1
2022-01-09,<1
2022-01-16,<1
2022-01-23,<1
2022-01-30,<1
2022-02-06,<1
2022-02-13,<1
2022-02-20,<1
2022-02-27,<1
2022-03-06,<1
2022-03-13,<1
2022-03-20,<1
2022-03-27,<1
2022-04-03,<1
2022-04-10,<1
2022-04-17,<1
2022-04-24,<1
2022-05-01,1
2022-05-08,1
2022-05-15,<1
2022-05-22,<1
2022-05-29,<1
2022-06-05,2
2022-06-12,3
2022-06-19,2
2022-06-26,2
2022-07-03,2
2022-07-10,2
2022-07-17,2
2022-07-24,2
2022-07-31,6
2022-08-07,71
2022-08-14,100
2022-08-21,60
2022-08-28,41
2022-09-04,31
2022-09-11,23
2022-09-18,17
2022-09-25,14
2022-10-02,10
2022-10-09,10
2022-10-16,8
2022-10-23,12
2022-10-30,10
2022-11-06,8
2022-11-13,7
2022-11-20,7
2022-11-27,7
2022-12-04,7
2022-12-11,6
2022-12-18,7
2022-12-25,12
2023-01-01,9
2023-01-08,7
2023-01-15,6
2023-01-22,5
2023-01-29,5
2023-02-05,5
2023-02-12,4
2023-02-19,5
2023-02-26,5
2023-03-05,4
2023-03-12,5
2023-03-19,8
2023-03-26,5
2023-04-02,5
2023-04-09,5
2023-04-16,7
2023-04-23,17
2023-04-30,17
2023-05-07,10
2023-05-14,7
2023-05-21,6
2023-05-28,6
2023-06-04,6
2023-06-11,7
2023-06-18,6
2023-06-25,6
2023-07-02,6
2023-07-09,6
2023-07-16,5
2023-07-23,5
2023-07-30,5
2023-08-06,5
2023-08-13,5
2023-08-20,9
2023-08-27,7
2023-09-03,6
2023-09-10,11
2023-09-17,7
2023-09-24,5
2023-10-01,5
2023-10-08,5
2023-10-15,4
2023-10-22,7
2023-10-29,9
2023-11-05,6
2023-11-12,5
2023-11-19,6
2023-11-26,10
2023-12-03,8
2023-12-10,7
2023-12-17,8
2023-12-24,10
2023-12-31,9
2024-01-07,10
2024-01-14,27
2024-01-21,25
2024-01-28,17
2024-02-04,12
2024-02-11,13
2024-02-18,11
2024-02-25,9
2024-03-03,9
2024-03-10,9
2024-03-17,9
2024-03-24,9
2024-03-31,8
2024-04-07,7
2024-04-14,7
2024-04-21,7
2024-04-28,6
2024-05-05,6
2024-05-12,6
2024-05-19,7
2024-05-26,6
2024-06-02,6
2024-06-09,9
2024-06-16,8
2024-06-23,8
2024-06-30,9
