Category: All categories

Week,Cuphead: The Delicious Last Course: (Worldwide)
2021-12-26,2
2022-01-02,2
2022-01-09,1
2022-01-16,3
2022-01-23,3
2022-01-30,2
2022-02-06,3
2022-02-13,4
2022-02-20,5
2022-02-27,4
2022-03-06,4
2022-03-13,3
2022-03-20,3
2022-03-27,3
2022-04-03,2
2022-04-10,2
2022-04-17,2
2022-04-24,2
2022-05-01,2
2022-05-08,2
2022-05-15,2
2022-05-22,3
2022-05-29,4
2022-06-05,11
2022-06-12,14
2022-06-19,16
2022-06-26,100
2022-07-03,78
2022-07-10,38
2022-07-17,22
2022-07-24,19
2022-07-31,15
2022-08-07,12
2022-08-14,10
2022-08-21,9
2022-08-28,8
2022-09-04,6
2022-09-11,5
2022-09-18,5
2022-09-25,5
2022-10-02,5
2022-10-09,4
2022-10-16,3
2022-10-23,3
2022-10-30,3
2022-11-06,3
2022-11-13,3
2022-11-20,4
2022-11-27,3
2022-12-04,3
2022-12-11,3
2022-12-18,4
2022-12-25,5
2023-01-01,4
2023-01-08,4
2023-01-15,4
2023-01-22,4
2023-01-29,3
2023-02-05,3
2023-02-12,3
2023-02-19,4
2023-02-26,3
2023-03-05,3
2023-03-12,3
2023-03-19,3
2023-03-26,3
2023-04-02,3
2023-04-09,2
2023-04-16,2
2023-04-23,2
2023-04-30,2
2023-05-07,2
2023-05-14,2
2023-05-21,2
2023-05-28,3
2023-06-04,2
2023-06-11,2
2023-06-18,3
2023-06-25,3
2023-07-02,3
2023-07-09,3
2023-07-16,3
2023-07-23,3
2023-07-30,3
2023-08-06,3
2023-08-13,3
2023-08-20,3
2023-08-27,3
2023-09-03,2
2023-09-10,2
2023-09-17,2
2023-09-24,2
2023-10-01,3
2023-10-08,2
2023-10-15,2
2023-10-22,2
2023-10-29,2
2023-11-05,2
2023-11-12,2
2023-11-19,2
2023-11-26,2
2023-12-03,2
2023-12-10,2
2023-12-17,3
2023-12-24,3
2023-12-31,3
2024-01-07,3
2024-01-14,2
2024-01-21,2
2024-01-28,2
2024-02-04,2
2024-02-11,1
2024-02-18,2
2024-02-25,2
2024-03-03,1
2024-03-10,1
2024-03-17,1
2024-03-24,1
2024-03-31,1
2024-04-07,1
2024-04-14,1
2024-04-21,2
2024-04-28,2
2024-05-05,2
2024-05-12,1
2024-05-19,1
2024-05-26,1
2024-06-02,1
2024-06-09,1
2024-06-16,2
2024-06-23,2
2024-06-30,2
