Category: All categories

Week,Dying Light 2 Stay Human: (Worldwide)
2021-12-26,5
2022-01-02,9
2022-01-09,13
2022-01-16,15
2022-01-23,25
2022-01-30,100
2022-02-06,74
2022-02-13,36
2022-02-20,20
2022-02-27,12
2022-03-06,10
2022-03-13,11
2022-03-20,7
2022-03-27,9
2022-04-03,8
2022-04-10,6
2022-04-17,6
2022-04-24,9
2022-05-01,6
2022-05-08,7
2022-05-15,5
2022-05-22,5
2022-05-29,3
2022-06-05,5
2022-06-12,4
2022-06-19,0
2022-06-26,0
2022-07-03,4
2022-07-10,3
2022-07-17,0
2022-07-24,3
2022-07-31,4
2022-08-07,0
2022-08-14,0
2022-08-21,7
2022-08-28,4
2022-09-04,4
2022-09-11,4
2022-09-18,4
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,4
2022-10-30,0
2022-11-06,5
2022-11-13,5
2022-11-20,0
2022-11-27,0
2022-12-04,3
2022-12-11,0
2022-12-18,0
2022-12-25,4
2023-01-01,0
2023-01-08,4
2023-01-15,0
2023-01-22,0
2023-01-29,6
2023-02-05,4
2023-02-12,4
2023-02-19,4
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,4
2023-04-16,5
2023-04-23,4
2023-04-30,4
2023-05-07,0
2023-05-14,4
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,3
2023-06-18,0
2023-06-25,5
2023-07-02,7
2023-07-09,0
2023-07-16,0
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,0
2023-12-17,5
2023-12-24,0
2023-12-31,0
2024-01-07,0
2024-01-14,0
2024-01-21,0
2024-01-28,0
2024-02-04,0
2024-02-11,0
2024-02-18,8
2024-02-25,5
2024-03-03,0
2024-03-10,0
2024-03-17,0
2024-03-24,0
2024-03-31,0
2024-04-07,0
2024-04-14,0
2024-04-21,0
2024-04-28,0
2024-05-05,0
2024-05-12,0
2024-05-19,0
2024-05-26,0
2024-06-02,5
2024-06-09,0
2024-06-16,0
2024-06-23,1
2024-06-30,2
