Category: All categories

Week,Dying Light 2 Stay Human: (Worldwide)
2021-12-26,3
2022-01-02,3
2022-01-09,8
2022-01-16,8
2022-01-23,12
2022-01-30,84
2022-02-06,100
2022-02-13,58
2022-02-20,35
2022-02-27,20
2022-03-06,15
2022-03-13,12
2022-03-20,9
2022-03-27,8
2022-04-03,7
2022-04-10,6
2022-04-17,6
2022-04-24,7
2022-05-01,7
2022-05-08,6
2022-05-15,5
2022-05-22,5
2022-05-29,5
2022-06-05,5
2022-06-12,5
2022-06-19,6
2022-06-26,5
2022-07-03,5
2022-07-10,5
2022-07-17,4
2022-07-24,4
2022-07-31,6
2022-08-07,9
2022-08-14,6
2022-08-21,6
2022-08-28,6
2022-09-04,5
2022-09-11,5
2022-09-18,4
2022-09-25,4
2022-10-02,3
2022-10-09,4
2022-10-16,3
2022-10-23,4
2022-10-30,4
2022-11-06,5
2022-11-13,5
2022-11-20,4
2022-11-27,4
2022-12-04,4
2022-12-11,4
2022-12-18,5
2022-12-25,7
2023-01-01,6
2023-01-08,5
2023-01-15,4
2023-01-22,4
2023-01-29,7
2023-02-05,8
2023-02-12,6
2023-02-19,5
2023-02-26,4
2023-03-05,3
2023-03-12,3
2023-03-19,4
2023-03-26,3
2023-04-02,4
2023-04-09,3
2023-04-16,5
2023-04-23,6
2023-04-30,5
2023-05-07,4
2023-05-14,3
2023-05-21,3
2023-05-28,3
2023-06-04,3
2023-06-11,3
2023-06-18,2
2023-06-25,3
2023-07-02,4
2023-07-09,4
2023-07-16,4
2023-07-23,4
2023-07-30,3
2023-08-06,3
2023-08-13,2
2023-08-20,2
2023-08-27,2
2023-09-03,2
2023-09-10,2
2023-09-17,2
2023-09-24,2
2023-10-01,2
2023-10-08,2
2023-10-15,2
2023-10-22,2
2023-10-29,3
2023-11-05,3
2023-11-12,3
2023-11-19,3
2023-11-26,3
2023-12-03,2
2023-12-10,2
2023-12-17,3
2023-12-24,4
2023-12-31,4
2024-01-07,3
2024-01-14,3
2024-01-21,3
2024-01-28,3
2024-02-04,2
2024-02-11,2
2024-02-18,6
2024-02-25,8
2024-03-03,6
2024-03-10,4
2024-03-17,4
2024-03-24,3
2024-03-31,3
2024-04-07,2
2024-04-14,3
2024-04-21,3
2024-04-28,2
2024-05-05,2
2024-05-12,2
2024-05-19,2
2024-05-26,2
2024-06-02,2
2024-06-09,2
2024-06-16,2
2024-06-23,2
2024-06-30,3
