Category: All categories

Week,Evil Dead: The Game: (Worldwide)
2021-12-26,1
2022-01-02,2
2022-01-09,2
2022-01-16,2
2022-01-23,3
2022-01-30,2
2022-02-06,8
2022-02-13,4
2022-02-20,3
2022-02-27,3
2022-03-06,4
2022-03-13,4
2022-03-20,5
2022-03-27,5
2022-04-03,4
2022-04-10,6
2022-04-17,8
2022-04-24,9
2022-05-01,12
2022-05-08,85
2022-05-15,100
2022-05-22,45
2022-05-29,24
2022-06-05,16
2022-06-12,12
2022-06-19,9
2022-06-26,7
2022-07-03,6
2022-07-10,8
2022-07-17,7
2022-07-24,7
2022-07-31,5
2022-08-07,6
2022-08-14,5
2022-08-21,4
2022-08-28,4
2022-09-04,6
2022-09-11,6
2022-09-18,4
2022-09-25,4
2022-10-02,3
2022-10-09,3
2022-10-16,4
2022-10-23,5
2022-10-30,4
2022-11-06,7
2022-11-13,28
2022-11-20,21
2022-11-27,6
2022-12-04,4
2022-12-11,4
2022-12-18,4
2022-12-25,4
2023-01-01,4
2023-01-08,4
2023-01-15,3
2023-01-22,3
2023-01-29,16
2023-02-05,18
2023-02-12,12
2023-02-19,8
2023-02-26,6
2023-03-05,4
2023-03-12,3
2023-03-19,3
2023-03-26,3
2023-04-02,3
2023-04-09,4
2023-04-16,4
2023-04-23,10
2023-04-30,7
2023-05-07,5
2023-05-14,4
2023-05-21,3
2023-05-28,3
2023-06-04,3
2023-06-11,2
2023-06-18,2
2023-06-25,3
2023-07-02,3
2023-07-09,3
2023-07-16,3
2023-07-23,2
2023-07-30,2
2023-08-06,2
2023-08-13,3
2023-08-20,3
2023-08-27,2
2023-09-03,3
2023-09-10,3
2023-09-17,8
2023-09-24,3
2023-10-01,2
2023-10-08,2
2023-10-15,2
2023-10-22,2
2023-10-29,2
2023-11-05,2
2023-11-12,2
2023-11-19,3
2023-11-26,2
2023-12-03,3
2023-12-10,2
2023-12-17,1
2023-12-24,2
2023-12-31,2
2024-01-07,1
2024-01-14,1
2024-01-21,1
2024-01-28,1
2024-02-04,1
2024-02-11,1
2024-02-18,1
2024-02-25,1
2024-03-03,1
2024-03-10,1
2024-03-17,1
2024-03-24,1
2024-03-31,1
2024-04-07,1
2024-04-14,1
2024-04-21,1
2024-04-28,1
2024-05-05,1
2024-05-12,1
2024-05-19,1
2024-05-26,1
2024-06-02,1
2024-06-09,1
2024-06-16,1
2024-06-23,1
2024-06-30,1
