Category: All categories

Week,F1 22: (Worldwide)
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,<1
2022-05-08,5
2022-05-15,7
2022-05-22,12
2022-05-29,14
2022-06-05,14
2022-06-12,16
2022-06-19,26
2022-06-26,100
2022-07-03,93
2022-07-10,65
2022-07-17,46
2022-07-24,50
2022-07-31,45
2022-08-07,37
2022-08-14,28
2022-08-21,29
2022-08-28,31
2022-09-04,24
2022-09-11,27
2022-09-18,19
2022-09-25,19
2022-10-02,19
2022-10-09,23
2022-10-16,34
2022-10-23,26
2022-10-30,21
2022-11-06,17
2022-11-13,19
2022-11-20,20
2022-11-27,17
2022-12-04,16
2022-12-11,14
2022-12-18,17
2022-12-25,19
2023-01-01,16
2023-01-08,11
2023-01-15,12
2023-01-22,12
2023-01-29,11
2023-02-05,11
2023-02-12,11
2023-02-19,14
2023-02-26,20
2023-03-05,24
2023-03-12,21
2023-03-19,27
2023-03-26,19
2023-04-02,21
2023-04-09,16
2023-04-16,13
2023-04-23,12
2023-04-30,14
2023-05-07,14
2023-05-14,11
2023-05-21,11
2023-05-28,13
2023-06-04,13
2023-06-11,13
2023-06-18,12
2023-06-25,10
2023-07-02,9
2023-07-09,11
2023-07-16,9
2023-07-23,9
2023-07-30,10
2023-08-06,7
2023-08-13,6
2023-08-20,5
2023-08-27,6
2023-09-03,6
2023-09-10,5
2023-09-17,6
2023-09-24,6
2023-10-01,6
2023-10-08,6
2023-10-15,5
2023-10-22,5
2023-10-29,5
2023-11-05,5
2023-11-12,5
2023-11-19,6
2023-11-26,5
2023-12-03,4
2023-12-10,3
2023-12-17,4
2023-12-24,4
2023-12-31,3
2024-01-07,3
2024-01-14,3
2024-01-21,2
2024-01-28,2
2024-02-04,3
2024-02-11,2
2024-02-18,3
2024-02-25,4
2024-03-03,4
2024-03-10,4
2024-03-17,3
2024-03-24,4
2024-03-31,3
2024-04-07,3
2024-04-14,3
2024-04-21,3
2024-04-28,2
2024-05-05,3
2024-05-12,2
2024-05-19,3
2024-05-26,3
2024-06-02,3
2024-06-09,3
2024-06-16,2
2024-06-23,2
2024-06-30,2
