Category: All categories

Week,F1 22: (Worldwide)
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,<1
2022-05-08,9
2022-05-15,11
2022-05-22,17
2022-05-29,23
2022-06-05,19
2022-06-12,28
2022-06-19,31
2022-06-26,90
2022-07-03,100
2022-07-10,70
2022-07-17,50
2022-07-24,53
2022-07-31,47
2022-08-07,39
2022-08-14,28
2022-08-21,27
2022-08-28,32
2022-09-04,29
2022-09-11,28
2022-09-18,23
2022-09-25,20
2022-10-02,22
2022-10-09,25
2022-10-16,30
2022-10-23,27
2022-10-30,24
2022-11-06,21
2022-11-13,22
2022-11-20,22
2022-11-27,24
2022-12-04,20
2022-12-11,18
2022-12-18,17
2022-12-25,21
2023-01-01,17
2023-01-08,15
2023-01-15,16
2023-01-22,16
2023-01-29,16
2023-02-05,15
2023-02-12,15
2023-02-19,16
2023-02-26,20
2023-03-05,26
2023-03-12,29
2023-03-19,33
2023-03-26,25
2023-04-02,26
2023-04-09,23
2023-04-16,18
2023-04-23,15
2023-04-30,20
2023-05-07,20
2023-05-14,19
2023-05-21,15
2023-05-28,16
2023-06-04,15
2023-06-11,16
2023-06-18,13
2023-06-25,11
2023-07-02,11
2023-07-09,11
2023-07-16,11
2023-07-23,9
2023-07-30,9
2023-08-06,7
2023-08-13,6
2023-08-20,6
2023-08-27,6
2023-09-03,6
2023-09-10,6
2023-09-17,7
2023-09-24,7
2023-10-01,6
2023-10-08,6
2023-10-15,5
2023-10-22,5
2023-10-29,5
2023-11-05,6
2023-11-12,5
2023-11-19,5
2023-11-26,5
2023-12-03,4
2023-12-10,4
2023-12-17,4
2023-12-24,4
2023-12-31,4
2024-01-07,3
2024-01-14,3
2024-01-21,3
2024-01-28,3
2024-02-04,3
2024-02-11,3
2024-02-18,3
2024-02-25,4
2024-03-03,5
2024-03-10,5
2024-03-17,4
2024-03-24,4
2024-03-31,4
2024-04-07,3
2024-04-14,3
2024-04-21,3
2024-04-28,3
2024-05-05,3
2024-05-12,3
2024-05-19,3
2024-05-26,4
2024-06-02,3
2024-06-09,3
2024-06-16,2
2024-06-23,2
2024-06-30,2
