Category: All categories

Week,Ghostwire: Tokyo: (Worldwide)
2021-12-26,1
2022-01-02,1
2022-01-09,1
2022-01-16,2
2022-01-23,2
2022-01-30,19
2022-02-06,15
2022-02-13,8
2022-02-20,5
2022-02-27,8
2022-03-06,15
2022-03-13,21
2022-03-20,100
2022-03-27,67
2022-04-03,31
2022-04-10,20
2022-04-17,16
2022-04-24,12
2022-05-01,15
2022-05-08,16
2022-05-15,11
2022-05-22,13
2022-05-29,12
2022-06-05,10
2022-06-12,8
2022-06-19,10
2022-06-26,10
2022-07-03,9
2022-07-10,7
2022-07-17,8
2022-07-24,7
2022-07-31,7
2022-08-07,5
2022-08-14,7
2022-08-21,6
2022-08-28,6
2022-09-04,5
2022-09-11,5
2022-09-18,4
2022-09-25,4
2022-10-02,4
2022-10-09,4
2022-10-16,4
2022-10-23,4
2022-10-30,4
2022-11-06,3
2022-11-13,4
2022-11-20,5
2022-11-27,4
2022-12-04,4
2022-12-11,4
2022-12-18,6
2022-12-25,9
2023-01-01,8
2023-01-08,6
2023-01-15,5
2023-01-22,6
2023-01-29,6
2023-02-05,4
2023-02-12,4
2023-02-19,5
2023-02-26,5
2023-03-05,5
2023-03-12,10
2023-03-19,14
2023-03-26,14
2023-04-02,14
2023-04-09,43
2023-04-16,33
2023-04-23,19
2023-04-30,15
2023-05-07,12
2023-05-14,10
2023-05-21,9
2023-05-28,9
2023-06-04,9
2023-06-11,8
2023-06-18,8
2023-06-25,8
2023-07-02,7
2023-07-09,7
2023-07-16,6
2023-07-23,6
2023-07-30,7
2023-08-06,7
2023-08-13,6
2023-08-20,5
2023-08-27,5
2023-09-03,4
2023-09-10,4
2023-09-17,5
2023-09-24,5
2023-10-01,10
2023-10-08,11
2023-10-15,8
2023-10-22,7
2023-10-29,7
2023-11-05,5
2023-11-12,4
2023-11-19,5
2023-11-26,5
2023-12-03,6
2023-12-10,5
2023-12-17,4
2023-12-24,52
2023-12-31,15
2024-01-07,8
2024-01-14,8
2024-01-21,6
2024-01-28,6
2024-02-04,6
2024-02-11,6
2024-02-18,6
2024-02-25,6
2024-03-03,6
2024-03-10,5
2024-03-17,4
2024-03-24,4
2024-03-31,4
2024-04-07,4
2024-04-14,4
2024-04-21,4
2024-04-28,4
2024-05-05,6
2024-05-12,4
2024-05-19,3
2024-05-26,4
2024-06-02,4
2024-06-09,4
2024-06-16,3
2024-06-23,3
2024-06-30,3
