Category: All categories

Week,Ghostwire: Tokyo: (Worldwide)
2021-12-26,1
2022-01-02,1
2022-01-09,1
2022-01-16,1
2022-01-23,1
2022-01-30,26
2022-02-06,17
2022-02-13,7
2022-02-20,6
2022-02-27,8
2022-03-06,16
2022-03-13,22
2022-03-20,100
2022-03-27,71
2022-04-03,30
2022-04-10,23
2022-04-17,16
2022-04-24,13
2022-05-01,14
2022-05-08,15
2022-05-15,11
2022-05-22,12
2022-05-29,11
2022-06-05,9
2022-06-12,7
2022-06-19,9
2022-06-26,11
2022-07-03,9
2022-07-10,7
2022-07-17,8
2022-07-24,7
2022-07-31,6
2022-08-07,5
2022-08-14,7
2022-08-21,6
2022-08-28,5
2022-09-04,4
2022-09-11,4
2022-09-18,5
2022-09-25,4
2022-10-02,4
2022-10-09,4
2022-10-16,4
2022-10-23,5
2022-10-30,4
2022-11-06,4
2022-11-13,4
2022-11-20,5
2022-11-27,4
2022-12-04,4
2022-12-11,4
2022-12-18,5
2022-12-25,6
2023-01-01,6
2023-01-08,4
2023-01-15,4
2023-01-22,4
2023-01-29,5
2023-02-05,4
2023-02-12,4
2023-02-19,4
2023-02-26,4
2023-03-05,5
2023-03-12,9
2023-03-19,13
2023-03-26,11
2023-04-02,13
2023-04-09,36
2023-04-16,24
2023-04-23,19
2023-04-30,16
2023-05-07,9
2023-05-14,7
2023-05-21,7
2023-05-28,7
2023-06-04,7
2023-06-11,6
2023-06-18,6
2023-06-25,6
2023-07-02,5
2023-07-09,5
2023-07-16,5
2023-07-23,5
2023-07-30,5
2023-08-06,6
2023-08-13,5
2023-08-20,4
2023-08-27,4
2023-09-03,4
2023-09-10,4
2023-09-17,4
2023-09-24,4
2023-10-01,8
2023-10-08,8
2023-10-15,6
2023-10-22,6
2023-10-29,5
2023-11-05,3
2023-11-12,3
2023-11-19,4
2023-11-26,4
2023-12-03,4
2023-12-10,4
2023-12-17,4
2023-12-24,52
2023-12-31,13
2024-01-07,8
2024-01-14,7
2024-01-21,6
2024-01-28,6
2024-02-04,5
2024-02-11,5
2024-02-18,5
2024-02-25,5
2024-03-03,5
2024-03-10,5
2024-03-17,4
2024-03-24,3
2024-03-31,4
2024-04-07,3
2024-04-14,4
2024-04-21,4
2024-04-28,4
2024-05-05,4
2024-05-12,4
2024-05-19,3
2024-05-26,3
2024-06-02,3
2024-06-09,3
2024-06-16,3
2024-06-23,3
2024-06-30,3
