Category: All categories

Week,God of War Ragnarök: (Worldwide)
2021-12-26,9
2022-01-02,7
2022-01-09,12
2022-01-16,11
2022-01-23,10
2022-01-30,14
2022-02-06,11
2022-02-13,6
2022-02-20,7
2022-02-27,6
2022-03-06,11
2022-03-13,13
2022-03-20,7
2022-03-27,7
2022-04-03,8
2022-04-10,10
2022-04-17,7
2022-04-24,9
2022-05-01,10
2022-05-08,10
2022-05-15,13
2022-05-22,13
2022-05-29,12
2022-06-05,14
2022-06-12,10
2022-06-19,13
2022-06-26,22
2022-07-03,20
2022-07-10,27
2022-07-17,12
2022-07-24,13
2022-07-31,8
2022-08-07,9
2022-08-14,14
2022-08-21,15
2022-08-28,12
2022-09-04,11
2022-09-11,18
2022-09-18,13
2022-09-25,18
2022-10-02,9
2022-10-09,13
2022-10-16,24
2022-10-23,32
2022-10-30,70
2022-11-06,100
2022-11-13,75
2022-11-20,47
2022-11-27,33
2022-12-04,32
2022-12-11,23
2022-12-18,17
2022-12-25,26
2023-01-01,14
2023-01-08,16
2023-01-15,12
2023-01-22,15
2023-01-29,10
2023-02-05,8
2023-02-12,14
2023-02-19,13
2023-02-26,10
2023-03-05,9
2023-03-12,6
2023-03-19,11
2023-03-26,13
2023-04-02,14
2023-04-09,7
2023-04-16,5
2023-04-23,9
2023-04-30,5
2023-05-07,6
2023-05-14,8
2023-05-21,4
2023-05-28,7
2023-06-04,0
2023-06-11,0
2023-06-18,4
2023-06-25,5
2023-07-02,0
2023-07-09,0
2023-07-16,0
2023-07-23,0
2023-07-30,6
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,6
2023-09-03,0
2023-09-10,0
2023-09-17,8
2023-09-24,0
2023-10-01,6
2023-10-08,0
2023-10-15,4
2023-10-22,7
2023-10-29,5
2023-11-05,6
2023-11-12,7
2023-11-19,8
2023-11-26,0
2023-12-03,11
2023-12-10,20
2023-12-17,12
2023-12-24,11
2023-12-31,9
2024-01-07,6
2024-01-14,5
2024-01-21,0
2024-01-28,5
2024-02-04,5
2024-02-11,6
2024-02-18,0
2024-02-25,0
2024-03-03,0
2024-03-10,0
2024-03-17,0
2024-03-24,0
2024-03-31,0
2024-04-07,0
2024-04-14,0
2024-04-21,0
2024-04-28,0
2024-05-05,0
2024-05-12,0
2024-05-19,7
2024-05-26,11
2024-06-02,5
2024-06-09,0
2024-06-16,0
2024-06-23,1
2024-06-30,2
