Category: All categories

Week,God of War Ragnarök: (Worldwide)
2021-12-26,2
2022-01-02,2
2022-01-09,3
2022-01-16,4
2022-01-23,4
2022-01-30,3
2022-02-06,2
2022-02-13,2
2022-02-20,2
2022-02-27,2
2022-03-06,2
2022-03-13,2
2022-03-20,2
2022-03-27,2
2022-04-03,2
2022-04-10,2
2022-04-17,2
2022-04-24,2
2022-05-01,2
2022-05-08,2
2022-05-15,2
2022-05-22,2
2022-05-29,2
2022-06-05,3
2022-06-12,2
2022-06-19,3
2022-06-26,4
2022-07-03,10
2022-07-10,10
2022-07-17,6
2022-07-24,4
2022-07-31,3
2022-08-07,3
2022-08-14,4
2022-08-21,4
2022-08-28,4
2022-09-04,5
2022-09-11,11
2022-09-18,6
2022-09-25,6
2022-10-02,6
2022-10-09,7
2022-10-16,11
2022-10-23,15
2022-10-30,39
2022-11-06,100
2022-11-13,80
2022-11-20,55
2022-11-27,39
2022-12-04,35
2022-12-11,29
2022-12-18,27
2022-12-25,31
2023-01-01,23
2023-01-08,18
2023-01-15,15
2023-01-22,15
2023-01-29,13
2023-02-05,12
2023-02-12,11
2023-02-19,10
2023-02-26,9
2023-03-05,8
2023-03-12,8
2023-03-19,7
2023-03-26,7
2023-04-02,9
2023-04-09,8
2023-04-16,7
2023-04-23,6
2023-04-30,6
2023-05-07,5
2023-05-14,5
2023-05-21,5
2023-05-28,5
2023-06-04,5
2023-06-11,5
2023-06-18,5
2023-06-25,5
2023-07-02,5
2023-07-09,5
2023-07-16,5
2023-07-23,5
2023-07-30,5
2023-08-06,5
2023-08-13,5
2023-08-20,5
2023-08-27,5
2023-09-03,5
2023-09-10,4
2023-09-17,4
2023-09-24,4
2023-10-01,4
2023-10-08,4
2023-10-15,4
2023-10-22,4
2023-10-29,4
2023-11-05,5
2023-11-12,5
2023-11-19,6
2023-11-26,6
2023-12-03,9
2023-12-10,18
2023-12-17,13
2023-12-24,12
2023-12-31,10
2024-01-07,7
2024-01-14,6
2024-01-21,5
2024-01-28,5
2024-02-04,5
2024-02-11,4
2024-02-18,4
2024-02-25,4
2024-03-03,3
2024-03-10,4
2024-03-17,3
2024-03-24,4
2024-03-31,3
2024-04-07,3
2024-04-14,3
2024-04-21,3
2024-04-28,3
2024-05-05,3
2024-05-12,3
2024-05-19,3
2024-05-26,5
2024-06-02,4
2024-06-09,3
2024-06-16,3
2024-06-23,3
2024-06-30,3
