Category: All categories

Week,Gotham Knights: (Worldwide)
2021-12-26,2
2022-01-02,3
2022-01-09,3
2022-01-16,3
2022-01-23,3
2022-01-30,3
2022-02-06,3
2022-02-13,3
2022-02-20,2
2022-02-27,3
2022-03-06,7
2022-03-13,6
2022-03-20,7
2022-03-27,4
2022-04-03,4
2022-04-10,4
2022-04-17,3
2022-04-24,3
2022-05-01,3
2022-05-08,21
2022-05-15,9
2022-05-22,4
2022-05-29,7
2022-06-05,4
2022-06-12,3
2022-06-19,3
2022-06-26,3
2022-07-03,3
2022-07-10,2
2022-07-17,4
2022-07-24,4
2022-07-31,7
2022-08-07,6
2022-08-14,6
2022-08-21,7
2022-08-28,7
2022-09-04,6
2022-09-11,5
2022-09-18,5
2022-09-25,7
2022-10-02,16
2022-10-09,26
2022-10-16,100
2022-10-23,87
2022-10-30,43
2022-11-06,24
2022-11-13,17
2022-11-20,17
2022-11-27,17
2022-12-04,11
2022-12-11,11
2022-12-18,13
2022-12-25,19
2023-01-01,13
2023-01-08,9
2023-01-15,9
2023-01-22,8
2023-01-29,7
2023-02-05,6
2023-02-12,7
2023-02-19,7
2023-02-26,7
2023-03-05,8
2023-03-12,15
2023-03-19,13
2023-03-26,11
2023-04-02,10
2023-04-09,10
2023-04-16,8
2023-04-23,8
2023-04-30,7
2023-05-07,6
2023-05-14,6
2023-05-21,7
2023-05-28,7
2023-06-04,7
2023-06-11,8
2023-06-18,7
2023-06-25,8
2023-07-02,7
2023-07-09,6
2023-07-16,6
2023-07-23,6
2023-07-30,7
2023-08-06,6
2023-08-13,7
2023-08-20,5
2023-08-27,5
2023-09-03,4
2023-09-10,4
2023-09-17,5
2023-09-24,4
2023-10-01,15
2023-10-08,13
2023-10-15,13
2023-10-22,12
2023-10-29,9
2023-11-05,8
2023-11-12,7
2023-11-19,8
2023-11-26,7
2023-12-03,6
2023-12-10,5
2023-12-17,6
2023-12-24,7
2023-12-31,7
2024-01-07,5
2024-01-14,5
2024-01-21,5
2024-01-28,7
2024-02-04,7
2024-02-11,6
2024-02-18,6
2024-02-25,5
2024-03-03,4
2024-03-10,4
2024-03-17,3
2024-03-24,4
2024-03-31,3
2024-04-07,3
2024-04-14,2
2024-04-21,2
2024-04-28,2
2024-05-05,2
2024-05-12,2
2024-05-19,3
2024-05-26,3
2024-06-02,3
2024-06-09,3
2024-06-16,2
2024-06-23,2
2024-06-30,3
