Category: All categories

Week,Gotham Knights: (Worldwide)
2021-12-26,2
2022-01-02,2
2022-01-09,2
2022-01-16,2
2022-01-23,2
2022-01-30,2
2022-02-06,2
2022-02-13,2
2022-02-20,2
2022-02-27,2
2022-03-06,5
2022-03-13,5
2022-03-20,5
2022-03-27,4
2022-04-03,3
2022-04-10,3
2022-04-17,3
2022-04-24,2
2022-05-01,2
2022-05-08,34
2022-05-15,8
2022-05-22,4
2022-05-29,15
2022-06-05,7
2022-06-12,5
2022-06-19,3
2022-06-26,5
2022-07-03,3
2022-07-10,3
2022-07-17,5
2022-07-24,4
2022-07-31,10
2022-08-07,8
2022-08-14,7
2022-08-21,10
2022-08-28,7
2022-09-04,7
2022-09-11,6
2022-09-18,6
2022-09-25,7
2022-10-02,19
2022-10-09,28
2022-10-16,100
2022-10-23,98
2022-10-30,44
2022-11-06,26
2022-11-13,17
2022-11-20,16
2022-11-27,16
2022-12-04,10
2022-12-11,9
2022-12-18,10
2022-12-25,15
2023-01-01,11
2023-01-08,8
2023-01-15,10
2023-01-22,9
2023-01-29,8
2023-02-05,6
2023-02-12,7
2023-02-19,7
2023-02-26,7
2023-03-05,7
2023-03-12,8
2023-03-19,7
2023-03-26,7
2023-04-02,7
2023-04-09,7
2023-04-16,6
2023-04-23,7
2023-04-30,6
2023-05-07,6
2023-05-14,5
2023-05-21,6
2023-05-28,6
2023-06-04,6
2023-06-11,6
2023-06-18,6
2023-06-25,7
2023-07-02,5
2023-07-09,5
2023-07-16,5
2023-07-23,5
2023-07-30,5
2023-08-06,5
2023-08-13,4
2023-08-20,4
2023-08-27,4
2023-09-03,4
2023-09-10,3
2023-09-17,4
2023-09-24,4
2023-10-01,12
2023-10-08,11
2023-10-15,11
2023-10-22,10
2023-10-29,8
2023-11-05,7
2023-11-12,7
2023-11-19,8
2023-11-26,6
2023-12-03,5
2023-12-10,5
2023-12-17,5
2023-12-24,6
2023-12-31,6
2024-01-07,5
2024-01-14,5
2024-01-21,4
2024-01-28,7
2024-02-04,8
2024-02-11,6
2024-02-18,6
2024-02-25,5
2024-03-03,4
2024-03-10,4
2024-03-17,3
2024-03-24,3
2024-03-31,3
2024-04-07,3
2024-04-14,3
2024-04-21,2
2024-04-28,2
2024-05-05,2
2024-05-12,2
2024-05-19,2
2024-05-26,3
2024-06-02,2
2024-06-09,3
2024-06-16,2
2024-06-23,2
2024-06-30,3
