Category: All categories

Week,Gran Turismo 7: (Worldwide)
2021-12-26,11
2022-01-02,15
2022-01-09,12
2022-01-16,11
2022-01-23,21
2022-01-30,26
2022-02-06,17
2022-02-13,19
2022-02-20,24
2022-02-27,87
2022-03-06,41
2022-03-13,100
2022-03-20,47
2022-03-27,29
2022-04-03,36
2022-04-10,27
2022-04-17,26
2022-04-24,19
2022-05-01,17
2022-05-08,17
2022-05-15,22
2022-05-22,15
2022-05-29,13
2022-06-05,20
2022-06-12,12
2022-06-19,15
2022-06-26,15
2022-07-03,11
2022-07-10,7
2022-07-17,12
2022-07-24,14
2022-07-31,14
2022-08-07,12
2022-08-14,14
2022-08-21,11
2022-08-28,11
2022-09-04,8
2022-09-11,10
2022-09-18,13
2022-09-25,10
2022-10-02,8
2022-10-09,8
2022-10-16,7
2022-10-23,7
2022-10-30,8
2022-11-06,11
2022-11-13,12
2022-11-20,18
2022-11-27,13
2022-12-04,15
2022-12-11,11
2022-12-18,9
2022-12-25,11
2023-01-01,9
2023-01-08,8
2023-01-15,9
2023-01-22,11
2023-01-29,10
2023-02-05,9
2023-02-12,13
2023-02-19,15
2023-02-26,9
2023-03-05,6
2023-03-12,0
2023-03-19,11
2023-03-26,14
2023-04-02,0
2023-04-09,9
2023-04-16,6
2023-04-23,13
2023-04-30,9
2023-05-07,8
2023-05-14,0
2023-05-21,10
2023-05-28,0
2023-06-04,0
2023-06-11,11
2023-06-18,9
2023-06-25,8
2023-07-02,9
2023-07-09,0
2023-07-16,9
2023-07-23,16
2023-07-30,12
2023-08-06,10
2023-08-13,10
2023-08-20,11
2023-08-27,11
2023-09-03,0
2023-09-10,9
2023-09-17,0
2023-09-24,14
2023-10-01,9
2023-10-08,7
2023-10-15,10
2023-10-22,15
2023-10-29,17
2023-11-05,0
2023-11-12,14
2023-11-19,15
2023-11-26,10
2023-12-03,9
2023-12-10,11
2023-12-17,11
2023-12-24,12
2023-12-31,12
2024-01-07,11
2024-01-14,9
2024-01-21,8
2024-01-28,9
2024-02-04,0
2024-02-11,0
2024-02-18,9
2024-02-25,12
2024-03-03,11
2024-03-10,0
2024-03-17,10
2024-03-24,12
2024-03-31,0
2024-04-07,0
2024-04-14,0
2024-04-21,12
2024-04-28,0
2024-05-05,0
2024-05-12,0
2024-05-19,9
2024-05-26,12
2024-06-02,0
2024-06-09,0
2024-06-16,0
2024-06-23,10
2024-06-30,11
