Category: All categories

Week,Gran Turismo 7: (Worldwide)
2021-12-26,4
2022-01-02,5
2022-01-09,5
2022-01-16,5
2022-01-23,6
2022-01-30,15
2022-02-06,12
2022-02-13,11
2022-02-20,17
2022-02-27,88
2022-03-06,100
2022-03-13,80
2022-03-20,51
2022-03-27,36
2022-04-03,31
2022-04-10,30
2022-04-17,25
2022-04-24,23
2022-05-01,19
2022-05-08,16
2022-05-15,14
2022-05-22,18
2022-05-29,16
2022-06-05,16
2022-06-12,13
2022-06-19,17
2022-06-26,16
2022-07-03,14
2022-07-10,12
2022-07-17,12
2022-07-24,13
2022-07-31,13
2022-08-07,12
2022-08-14,13
2022-08-21,13
2022-08-28,13
2022-09-04,9
2022-09-11,10
2022-09-18,10
2022-09-25,11
2022-10-02,10
2022-10-09,9
2022-10-16,10
2022-10-23,9
2022-10-30,9
2022-11-06,8
2022-11-13,9
2022-11-20,16
2022-11-27,14
2022-12-04,10
2022-12-11,13
2022-12-18,14
2022-12-25,21
2023-01-01,17
2023-01-08,14
2023-01-15,13
2023-01-22,13
2023-01-29,13
2023-02-05,13
2023-02-12,12
2023-02-19,17
2023-02-26,14
2023-03-05,13
2023-03-12,12
2023-03-19,11
2023-03-26,14
2023-04-02,13
2023-04-09,12
2023-04-16,10
2023-04-23,11
2023-04-30,11
2023-05-07,10
2023-05-14,9
2023-05-21,12
2023-05-28,11
2023-06-04,11
2023-06-11,11
2023-06-18,10
2023-06-25,11
2023-07-02,10
2023-07-09,10
2023-07-16,9
2023-07-23,10
2023-07-30,11
2023-08-06,14
2023-08-13,14
2023-08-20,13
2023-08-27,14
2023-09-03,12
2023-09-10,11
2023-09-17,10
2023-09-24,14
2023-10-01,14
2023-10-08,13
2023-10-15,12
2023-10-22,12
2023-10-29,16
2023-11-05,15
2023-11-12,16
2023-11-19,21
2023-11-26,17
2023-12-03,16
2023-12-10,15
2023-12-17,19
2023-12-24,26
2023-12-31,24
2024-01-07,19
2024-01-14,17
2024-01-21,17
2024-01-28,15
2024-02-04,14
2024-02-11,13
2024-02-18,15
2024-02-25,15
2024-03-03,12
2024-03-10,12
2024-03-17,12
2024-03-24,15
2024-03-31,15
2024-04-07,12
2024-04-14,11
2024-04-21,12
2024-04-28,11
2024-05-05,10
2024-05-12,10
2024-05-19,9
2024-05-26,13
2024-06-02,12
2024-06-09,11
2024-06-16,11
2024-06-23,9
2024-06-30,10
