Category: All categories

Week,Gran Turismo 7: (Worldwide)
2021-12-26,5
2022-01-02,5
2022-01-09,6
2022-01-16,6
2022-01-23,7
2022-01-30,23
2022-02-06,15
2022-02-13,10
2022-02-20,15
2022-02-27,90
2022-03-06,100
2022-03-13,62
2022-03-20,47
2022-03-27,35
2022-04-03,29
2022-04-10,30
2022-04-17,25
2022-04-24,25
2022-05-01,20
2022-05-08,18
2022-05-15,16
2022-05-22,19
2022-05-29,17
2022-06-05,15
2022-06-12,15
2022-06-19,16
2022-06-26,17
2022-07-03,14
2022-07-10,14
2022-07-17,13
2022-07-24,15
2022-07-31,14
2022-08-07,13
2022-08-14,14
2022-08-21,14
2022-08-28,14
2022-09-04,12
2022-09-11,10
2022-09-18,10
2022-09-25,12
2022-10-02,10
2022-10-09,10
2022-10-16,11
2022-10-23,10
2022-10-30,9
2022-11-06,9
2022-11-13,10
2022-11-20,16
2022-11-27,15
2022-12-04,11
2022-12-11,14
2022-12-18,14
2022-12-25,19
2023-01-01,17
2023-01-08,14
2023-01-15,13
2023-01-22,14
2023-01-29,14
2023-02-05,14
2023-02-12,14
2023-02-19,20
2023-02-26,15
2023-03-05,14
2023-03-12,14
2023-03-19,13
2023-03-26,16
2023-04-02,15
2023-04-09,13
2023-04-16,13
2023-04-23,14
2023-04-30,14
2023-05-07,12
2023-05-14,11
2023-05-21,13
2023-05-28,14
2023-06-04,14
2023-06-11,13
2023-06-18,12
2023-06-25,13
2023-07-02,11
2023-07-09,10
2023-07-16,10
2023-07-23,12
2023-07-30,13
2023-08-06,15
2023-08-13,15
2023-08-20,14
2023-08-27,16
2023-09-03,14
2023-09-10,13
2023-09-17,13
2023-09-24,15
2023-10-01,17
2023-10-08,16
2023-10-15,14
2023-10-22,13
2023-10-29,21
2023-11-05,19
2023-11-12,17
2023-11-19,20
2023-11-26,18
2023-12-03,15
2023-12-10,15
2023-12-17,16
2023-12-24,21
2023-12-31,20
2024-01-07,18
2024-01-14,17
2024-01-21,16
2024-01-28,15
2024-02-04,14
2024-02-11,14
2024-02-18,16
2024-02-25,16
2024-03-03,15
2024-03-10,13
2024-03-17,13
2024-03-24,17
2024-03-31,17
2024-04-07,14
2024-04-14,12
2024-04-21,14
2024-04-28,13
2024-05-05,12
2024-05-12,12
2024-05-19,12
2024-05-26,14
2024-06-02,13
2024-06-09,13
2024-06-16,13
2024-06-23,11
2024-06-30,12
