Category: All categories

Week,Horizon Forbidden West: (Worldwide)
2021-12-26,16
2022-01-02,14
2022-01-09,22
2022-01-16,16
2022-01-23,26
2022-01-30,30
2022-02-06,39
2022-02-13,100
2022-02-20,66
2022-02-27,32
2022-03-06,28
2022-03-13,25
2022-03-20,20
2022-03-27,23
2022-04-03,20
2022-04-10,11
2022-04-17,16
2022-04-24,14
2022-05-01,12
2022-05-08,10
2022-05-15,13
2022-05-22,12
2022-05-29,13
2022-06-05,11
2022-06-12,12
2022-06-19,5
2022-06-26,9
2022-07-03,10
2022-07-10,8
2022-07-17,8
2022-07-24,8
2022-07-31,6
2022-08-07,9
2022-08-14,6
2022-08-21,6
2022-08-28,8
2022-09-04,8
2022-09-11,8
2022-09-18,5
2022-09-25,7
2022-10-02,8
2022-10-09,0
2022-10-16,6
2022-10-23,5
2022-10-30,0
2022-11-06,5
2022-11-13,8
2022-11-20,7
2022-11-27,0
2022-12-04,8
2022-12-11,7
2022-12-18,6
2022-12-25,8
2023-01-01,7
2023-01-08,4
2023-01-15,6
2023-01-22,6
2023-01-29,9
2023-02-05,5
2023-02-12,8
2023-02-19,12
2023-02-26,9
2023-03-05,4
2023-03-12,8
2023-03-19,0
2023-03-26,8
2023-04-02,5
2023-04-09,7
2023-04-16,14
2023-04-23,13
2023-04-30,5
2023-05-07,0
2023-05-14,6
2023-05-21,5
2023-05-28,0
2023-06-04,7
2023-06-11,5
2023-06-18,5
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,6
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,5
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,6
2023-12-10,0
2023-12-17,6
2023-12-24,0
2023-12-31,0
2024-01-07,0
2024-01-14,6
2024-01-21,6
2024-01-28,0
2024-02-04,0
2024-02-11,0
2024-02-18,0
2024-02-25,0
2024-03-03,0
2024-03-10,0
2024-03-17,24
2024-03-24,9
2024-03-31,6
2024-04-07,0
2024-04-14,0
2024-04-21,0
2024-04-28,0
2024-05-05,0
2024-05-12,0
2024-05-19,0
2024-05-26,0
2024-06-02,0
2024-06-09,0
2024-06-16,0
2024-06-23,1
2024-06-30,2
