Category: All categories

Week,Kirby and the Forgotten Land: (Worldwide)
2021-12-26,1
2022-01-02,2
2022-01-09,8
2022-01-16,5
2022-01-23,4
2022-01-30,4
2022-02-06,9
2022-02-13,7
2022-02-20,6
2022-02-27,19
2022-03-06,17
2022-03-13,17
2022-03-20,90
2022-03-27,100
2022-04-03,63
2022-04-10,52
2022-04-17,40
2022-04-24,33
2022-05-01,30
2022-05-08,23
2022-05-15,20
2022-05-22,17
2022-05-29,15
2022-06-05,14
2022-06-12,13
2022-06-19,12
2022-06-26,11
2022-07-03,12
2022-07-10,11
2022-07-17,13
2022-07-24,12
2022-07-31,12
2022-08-07,12
2022-08-14,12
2022-08-21,10
2022-08-28,11
2022-09-04,9
2022-09-11,8
2022-09-18,8
2022-09-25,7
2022-10-02,6
2022-10-09,7
2022-10-16,6
2022-10-23,6
2022-10-30,6
2022-11-06,7
2022-11-13,8
2022-11-20,8
2022-11-27,8
2022-12-04,9
2022-12-11,9
2022-12-18,11
2022-12-25,14
2023-01-01,11
2023-01-08,8
2023-01-15,8
2023-01-22,7
2023-01-29,7
2023-02-05,7
2023-02-12,7
2023-02-19,9
2023-02-26,8
2023-03-05,7
2023-03-12,7
2023-03-19,6
2023-03-26,6
2023-04-02,6
2023-04-09,5
2023-04-16,5
2023-04-23,5
2023-04-30,6
2023-05-07,5
2023-05-14,5
2023-05-21,4
2023-05-28,4
2023-06-04,4
2023-06-11,4
2023-06-18,5
2023-06-25,5
2023-07-02,4
2023-07-09,5
2023-07-16,5
2023-07-23,4
2023-07-30,5
2023-08-06,4
2023-08-13,4
2023-08-20,4
2023-08-27,4
2023-09-03,4
2023-09-10,4
2023-09-17,4
2023-09-24,3
2023-10-01,4
2023-10-08,4
2023-10-15,4
2023-10-22,4
2023-10-29,3
2023-11-05,3
2023-11-12,4
2023-11-19,5
2023-11-26,5
2023-12-03,5
2023-12-10,5
2023-12-17,5
2023-12-24,7
2023-12-31,6
2024-01-07,4
2024-01-14,4
2024-01-21,3
2024-01-28,3
2024-02-04,3
2024-02-11,4
2024-02-18,4
2024-02-25,4
2024-03-03,4
2024-03-10,4
2024-03-17,4
2024-03-24,4
2024-03-31,4
2024-04-07,3
2024-04-14,3
2024-04-21,4
2024-04-28,4
2024-05-05,4
2024-05-12,3
2024-05-19,4
2024-05-26,3
2024-06-02,3
2024-06-09,3
2024-06-16,4
2024-06-23,3
2024-06-30,4
