Category: All categories

Week,Kirby and the Forgotten Land: (Worldwide)
2021-12-26,1
2022-01-02,1
2022-01-09,10
2022-01-16,5
2022-01-23,3
2022-01-30,3
2022-02-06,11
2022-02-13,7
2022-02-20,5
2022-02-27,14
2022-03-06,14
2022-03-13,11
2022-03-20,61
2022-03-27,100
2022-04-03,82
2022-04-10,66
2022-04-17,53
2022-04-24,46
2022-05-01,41
2022-05-08,32
2022-05-15,29
2022-05-22,26
2022-05-29,24
2022-06-05,23
2022-06-12,19
2022-06-19,16
2022-06-26,15
2022-07-03,13
2022-07-10,14
2022-07-17,14
2022-07-24,13
2022-07-31,14
2022-08-07,14
2022-08-14,14
2022-08-21,13
2022-08-28,12
2022-09-04,11
2022-09-11,10
2022-09-18,10
2022-09-25,9
2022-10-02,9
2022-10-09,9
2022-10-16,8
2022-10-23,8
2022-10-30,8
2022-11-06,8
2022-11-13,8
2022-11-20,7
2022-11-27,8
2022-12-04,8
2022-12-11,8
2022-12-18,9
2022-12-25,11
2023-01-01,11
2023-01-08,9
2023-01-15,9
2023-01-22,9
2023-01-29,9
2023-02-05,9
2023-02-12,10
2023-02-19,10
2023-02-26,10
2023-03-05,9
2023-03-12,9
2023-03-19,10
2023-03-26,10
2023-04-02,9
2023-04-09,9
2023-04-16,8
2023-04-23,7
2023-04-30,7
2023-05-07,7
2023-05-14,6
2023-05-21,6
2023-05-28,6
2023-06-04,6
2023-06-11,6
2023-06-18,6
2023-06-25,7
2023-07-02,7
2023-07-09,6
2023-07-16,6
2023-07-23,7
2023-07-30,6
2023-08-06,7
2023-08-13,6
2023-08-20,6
2023-08-27,6
2023-09-03,6
2023-09-10,6
2023-09-17,6
2023-09-24,5
2023-10-01,5
2023-10-08,6
2023-10-15,5
2023-10-22,5
2023-10-29,5
2023-11-05,5
2023-11-12,5
2023-11-19,6
2023-11-26,5
2023-12-03,4
2023-12-10,5
2023-12-17,5
2023-12-24,6
2023-12-31,6
2024-01-07,6
2024-01-14,5
2024-01-21,5
2024-01-28,5
2024-02-04,5
2024-02-11,5
2024-02-18,5
2024-02-25,5
2024-03-03,5
2024-03-10,5
2024-03-17,5
2024-03-24,5
2024-03-31,5
2024-04-07,5
2024-04-14,5
2024-04-21,5
2024-04-28,5
2024-05-05,5
2024-05-12,5
2024-05-19,5
2024-05-26,5
2024-06-02,5
2024-06-09,5
2024-06-16,5
2024-06-23,5
2024-06-30,5
