Category: All categories

Week,Mario + Rabbids Sparks of Hope: (Worldwide)
2021-12-26,2
2022-01-02,2
2022-01-09,2
2022-01-16,2
2022-01-23,2
2022-01-30,1
2022-02-06,1
2022-02-13,1
2022-02-20,1
2022-02-27,1
2022-03-06,1
2022-03-13,1
2022-03-20,2
2022-03-27,1
2022-04-03,1
2022-04-10,2
2022-04-17,2
2022-04-24,2
2022-05-01,2
2022-05-08,2
2022-05-15,2
2022-05-22,2
2022-05-29,2
2022-06-05,2
2022-06-12,2
2022-06-19,2
2022-06-26,17
2022-07-03,8
2022-07-10,7
2022-07-17,5
2022-07-24,4
2022-07-31,3
2022-08-07,3
2022-08-14,3
2022-08-21,3
2022-08-28,3
2022-09-04,5
2022-09-11,11
2022-09-18,15
2022-09-25,19
2022-10-02,16
2022-10-09,20
2022-10-16,100
2022-10-23,78
2022-10-30,51
2022-11-06,38
2022-11-13,32
2022-11-20,22
2022-11-27,22
2022-12-04,24
2022-12-11,18
2022-12-18,21
2022-12-25,31
2023-01-01,23
2023-01-08,16
2023-01-15,14
2023-01-22,13
2023-01-29,11
2023-02-05,10
2023-02-12,9
2023-02-19,10
2023-02-26,14
2023-03-05,13
2023-03-12,13
2023-03-19,10
2023-03-26,10
2023-04-02,11
2023-04-09,10
2023-04-16,9
2023-04-23,9
2023-04-30,8
2023-05-07,7
2023-05-14,7
2023-05-21,7
2023-05-28,7
2023-06-04,7
2023-06-11,13
2023-06-18,18
2023-06-25,18
2023-07-02,11
2023-07-09,10
2023-07-16,9
2023-07-23,9
2023-07-30,9
2023-08-06,7
2023-08-13,7
2023-08-20,7
2023-08-27,22
2023-09-03,18
2023-09-10,11
2023-09-17,9
2023-09-24,7
2023-10-01,7
2023-10-08,7
2023-10-15,6
2023-10-22,6
2023-10-29,6
2023-11-05,5
2023-11-12,7
2023-11-19,9
2023-11-26,7
2023-12-03,6
2023-12-10,6
2023-12-17,6
2023-12-24,9
2023-12-31,8
2024-01-07,5
2024-01-14,5
2024-01-21,5
2024-01-28,5
2024-02-04,5
2024-02-11,5
2024-02-18,5
2024-02-25,4
2024-03-03,4
2024-03-10,5
2024-03-17,5
2024-03-24,4
2024-03-31,5
2024-04-07,4
2024-04-14,4
2024-04-21,4
2024-04-28,4
2024-05-05,4
2024-05-12,4
2024-05-19,4
2024-05-26,4
2024-06-02,4
2024-06-09,5
2024-06-16,5
2024-06-23,5
2024-06-30,4
