Category: All categories

Week,NBA 2K23: (Worldwide)
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,15
2022-08-14,18
2022-08-21,25
2022-08-28,37
2022-09-04,100
2022-09-11,54
2022-09-18,31
2022-09-25,21
2022-10-02,26
2022-10-09,21
2022-10-16,25
2022-10-23,17
2022-10-30,13
2022-11-06,14
2022-11-13,17
2022-11-20,14
2022-11-27,24
2022-12-04,13
2022-12-11,16
2022-12-18,14
2022-12-25,22
2023-01-01,21
2023-01-08,24
2023-01-15,24
2023-01-22,37
2023-01-29,30
2023-02-05,19
2023-02-12,27
2023-02-19,21
2023-02-26,17
2023-03-05,14
2023-03-12,0
2023-03-19,15
2023-03-26,12
2023-04-02,11
2023-04-09,11
2023-04-16,0
2023-04-23,11
2023-04-30,10
2023-05-07,13
2023-05-14,13
2023-05-21,11
2023-05-28,19
2023-06-04,21
2023-06-11,14
2023-06-18,23
2023-06-25,22
2023-07-02,20
2023-07-09,12
2023-07-16,13
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,11
2023-08-27,0
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,11
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
2024-01-14,0
2024-01-21,0
2024-01-28,0
2024-02-04,0
2024-02-11,0
2024-02-18,0
2024-02-25,0
2024-03-03,0
2024-03-10,0
2024-03-17,0
2024-03-24,0
2024-03-31,0
2024-04-07,0
2024-04-14,0
2024-04-21,0
2024-04-28,0
2024-05-05,0
2024-05-12,0
2024-05-19,0
2024-05-26,0
2024-06-02,0
2024-06-09,0
2024-06-16,0
2024-06-23,0
2024-06-30,1
