Category: All categories

Week,NBA 2K23: (Worldwide)
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,1
2022-07-17,2
2022-07-24,3
2022-07-31,4
2022-08-07,10
2022-08-14,13
2022-08-21,14
2022-08-28,24
2022-09-04,100
2022-09-11,91
2022-09-18,55
2022-09-25,42
2022-10-02,35
2022-10-09,33
2022-10-16,32
2022-10-23,24
2022-10-30,15
2022-11-06,18
2022-11-13,21
2022-11-20,28
2022-11-27,25
2022-12-04,24
2022-12-11,26
2022-12-18,34
2022-12-25,51
2023-01-01,43
2023-01-08,36
2023-01-15,33
2023-01-22,38
2023-01-29,30
2023-02-05,28
2023-02-12,32
2023-02-19,36
2023-02-26,29
2023-03-05,28
2023-03-12,28
2023-03-19,29
2023-03-26,24
2023-04-02,28
2023-04-09,27
2023-04-16,25
2023-04-23,24
2023-04-30,27
2023-05-07,24
2023-05-14,29
2023-05-21,30
2023-05-28,32
2023-06-04,43
2023-06-11,48
2023-06-18,46
2023-06-25,45
2023-07-02,42
2023-07-09,34
2023-07-16,27
2023-07-23,23
2023-07-30,20
2023-08-06,20
2023-08-13,15
2023-08-20,12
2023-08-27,11
2023-09-03,13
2023-09-10,11
2023-09-17,9
2023-09-24,8
2023-10-01,7
2023-10-08,7
2023-10-15,6
2023-10-22,6
2023-10-29,6
2023-11-05,6
2023-11-12,6
2023-11-19,6
2023-11-26,5
2023-12-03,5
2023-12-10,5
2023-12-17,6
2023-12-24,7
2023-12-31,6
2024-01-07,5
2024-01-14,4
2024-01-21,4
2024-01-28,5
2024-02-04,5
2024-02-11,4
2024-02-18,4
2024-02-25,4
2024-03-03,4
2024-03-10,3
2024-03-17,3
2024-03-24,3
2024-03-31,3
2024-04-07,3
2024-04-14,3
2024-04-21,3
2024-04-28,3
2024-05-05,3
2024-05-12,3
2024-05-19,3
2024-05-26,3
2024-06-02,3
2024-06-09,3
2024-06-16,3
2024-06-23,2
2024-06-30,2
