Category: All categories

Week,NBA 2K23: (Worldwide)
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,<1
2022-07-17,1
2022-07-24,1
2022-07-31,2
2022-08-07,5
2022-08-14,5
2022-08-21,6
2022-08-28,10
2022-09-04,87
2022-09-11,100
2022-09-18,60
2022-09-25,45
2022-10-02,34
2022-10-09,31
2022-10-16,28
2022-10-23,22
2022-10-30,13
2022-11-06,17
2022-11-13,18
2022-11-20,22
2022-11-27,21
2022-12-04,21
2022-12-11,20
2022-12-18,25
2022-12-25,42
2023-01-01,35
2023-01-08,29
2023-01-15,31
2023-01-22,30
2023-01-29,31
2023-02-05,26
2023-02-12,28
2023-02-19,32
2023-02-26,28
2023-03-05,27
2023-03-12,27
2023-03-19,26
2023-03-26,22
2023-04-02,26
2023-04-09,29
2023-04-16,25
2023-04-23,24
2023-04-30,25
2023-05-07,23
2023-05-14,26
2023-05-21,29
2023-05-28,31
2023-06-04,39
2023-06-11,40
2023-06-18,37
2023-06-25,37
2023-07-02,36
2023-07-09,28
2023-07-16,24
2023-07-23,22
2023-07-30,20
2023-08-06,17
2023-08-13,15
2023-08-20,11
2023-08-27,11
2023-09-03,13
2023-09-10,13
2023-09-17,9
2023-09-24,8
2023-10-01,7
2023-10-08,6
2023-10-15,6
2023-10-22,6
2023-10-29,5
2023-11-05,5
2023-11-12,5
2023-11-19,6
2023-11-26,5
2023-12-03,5
2023-12-10,5
2023-12-17,5
2023-12-24,6
2023-12-31,6
2024-01-07,5
2024-01-14,4
2024-01-21,4
2024-01-28,3
2024-02-04,3
2024-02-11,3
2024-02-18,3
2024-02-25,3
2024-03-03,3
2024-03-10,3
2024-03-17,2
2024-03-24,3
2024-03-31,2
2024-04-07,2
2024-04-14,2
2024-04-21,2
2024-04-28,2
2024-05-05,2
2024-05-12,2
2024-05-19,2
2024-05-26,2
2024-06-02,2
2024-06-09,2
2024-06-16,2
2024-06-23,2
2024-06-30,2
