Category: All categories

Week,Nobody Saves the World: (Worldwide)
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,6
2022-01-23,52
2022-01-30,13
2022-02-06,14
2022-02-13,19
2022-02-20,14
2022-02-27,11
2022-03-06,10
2022-03-13,8
2022-03-20,8
2022-03-27,10
2022-04-03,17
2022-04-10,31
2022-04-17,33
2022-04-24,21
2022-05-01,19
2022-05-08,15
2022-05-15,12
2022-05-22,11
2022-05-29,21
2022-06-05,17
2022-06-12,15
2022-06-19,13
2022-06-26,12
2022-07-03,12
2022-07-10,11
2022-07-17,13
2022-07-24,13
2022-07-31,11
2022-08-07,10
2022-08-14,9
2022-08-21,11
2022-08-28,13
2022-09-04,9
2022-09-11,14
2022-09-18,12
2022-09-25,11
2022-10-02,8
2022-10-09,7
2022-10-16,8
2022-10-23,6
2022-10-30,11
2022-11-06,9
2022-11-13,8
2022-11-20,10
2022-11-27,8
2022-12-04,7
2022-12-11,10
2022-12-18,14
2022-12-25,20
2023-01-01,24
2023-01-08,22
2023-01-15,17
2023-01-22,16
2023-01-29,10
2023-02-05,8
2023-02-12,7
2023-02-19,6
2023-02-26,4
2023-03-05,5
2023-03-12,5
2023-03-19,5
2023-03-26,5
2023-04-02,5
2023-04-09,5
2023-04-16,6
2023-04-23,5
2023-04-30,5
2023-05-07,4
2023-05-14,3
2023-05-21,3
2023-05-28,3
2023-06-04,3
2023-06-11,4
2023-06-18,8
2023-06-25,8
2023-07-02,6
2023-07-09,5
2023-07-16,4
2023-07-23,3
2023-07-30,5
2023-08-06,5
2023-08-13,5
2023-08-20,4
2023-08-27,3
2023-09-03,3
2023-09-10,3
2023-09-17,4
2023-09-24,3
2023-10-01,3
2023-10-08,3
2023-10-15,4
2023-10-22,3
2023-10-29,3
2023-11-05,3
2023-11-12,3
2023-11-19,4
2023-11-26,3
2023-12-03,5
2023-12-10,4
2023-12-17,5
2023-12-24,40
2023-12-31,90
2024-01-07,100
2024-01-14,84
2024-01-21,64
2024-01-28,53
2024-02-04,43
2024-02-11,29
2024-02-18,24
2024-02-25,18
2024-03-03,14
2024-03-10,12
2024-03-17,13
2024-03-24,9
2024-03-31,12
2024-04-07,10
2024-04-14,8
2024-04-21,8
2024-04-28,8
2024-05-05,8
2024-05-12,9
2024-05-19,7
2024-05-26,9
2024-06-02,6
2024-06-09,6
2024-06-16,6
2024-06-23,5
2024-06-30,6
