Category: All categories

Week,Overwatch 2: (Worldwide)
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,3
2022-03-06,3
2022-03-13,4
2022-03-20,0
2022-03-27,2
2022-04-03,3
2022-04-10,5
2022-04-17,5
2022-04-24,15
2022-05-01,8
2022-05-08,4
2022-05-15,3
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,8
2022-06-19,4
2022-06-26,9
2022-07-03,5
2022-07-10,5
2022-07-17,4
2022-07-24,3
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,4
2022-09-11,7
2022-09-18,4
2022-09-25,13
2022-10-02,100
2022-10-09,50
2022-10-16,24
2022-10-23,22
2022-10-30,19
2022-11-06,14
2022-11-13,15
2022-11-20,8
2022-11-27,9
2022-12-04,15
2022-12-11,6
2022-12-18,6
2022-12-25,7
2023-01-01,4
2023-01-08,4
2023-01-15,5
2023-01-22,6
2023-01-29,5
2023-02-05,7
2023-02-12,6
2023-02-19,4
2023-02-26,4
2023-03-05,4
2023-03-12,5
2023-03-19,5
2023-03-26,6
2023-04-02,10
2023-04-09,6
2023-04-16,5
2023-04-23,4
2023-04-30,3
2023-05-07,4
2023-05-14,13
2023-05-21,3
2023-05-28,4
2023-06-04,4
2023-06-11,6
2023-06-18,0
2023-06-25,0
2023-07-02,3
2023-07-09,6
2023-07-16,4
2023-07-23,5
2023-07-30,6
2023-08-06,15
2023-08-13,7
2023-08-20,5
2023-08-27,0
2023-09-03,0
2023-09-10,0
2023-09-17,3
2023-09-24,4
2023-10-01,4
2023-10-08,5
2023-10-15,7
2023-10-22,0
2023-10-29,6
2023-11-05,5
2023-11-12,4
2023-11-19,3
2023-11-26,0
2023-12-03,5
2023-12-10,4
2023-12-17,0
2023-12-24,0
2023-12-31,4
2024-01-07,4
2024-01-14,0
2024-01-21,4
2024-01-28,4
2024-02-04,4
2024-02-11,4
2024-02-18,0
2024-02-25,3
2024-03-03,4
2024-03-10,5
2024-03-17,5
2024-03-24,0
2024-03-31,5
2024-04-07,5
2024-04-14,5
2024-04-21,0
2024-04-28,0
2024-05-05,3
2024-05-12,0
2024-05-19,3
2024-05-26,0
2024-06-02,0
2024-06-09,4
2024-06-16,5
2024-06-23,1
2024-06-30,2
