Category: All categories

Week,Overwatch 2: (Worldwide)
2021-12-26,<1
2022-01-02,<1
2022-01-09,1
2022-01-16,1
2022-01-23,<1
2022-01-30,1
2022-02-06,1
2022-02-13,1
2022-02-20,<1
2022-02-27,<1
2022-03-06,2
2022-03-13,2
2022-03-20,1
2022-03-27,1
2022-04-03,1
2022-04-10,2
2022-04-17,3
2022-04-24,20
2022-05-01,6
2022-05-08,3
2022-05-15,1
2022-05-22,1
2022-05-29,1
2022-06-05,1
2022-06-12,6
2022-06-19,3
2022-06-26,8
2022-07-03,4
2022-07-10,4
2022-07-17,2
2022-07-24,1
2022-07-31,1
2022-08-07,1
2022-08-14,1
2022-08-21,1
2022-08-28,1
2022-09-04,2
2022-09-11,4
2022-09-18,4
2022-09-25,9
2022-10-02,100
2022-10-09,64
2022-10-16,38
2022-10-23,30
2022-10-30,23
2022-11-06,18
2022-11-13,20
2022-11-20,14
2022-11-27,10
2022-12-04,13
2022-12-11,10
2022-12-18,9
2022-12-25,9
2023-01-01,9
2023-01-08,7
2023-01-15,6
2023-01-22,6
2023-01-29,6
2023-02-05,9
2023-02-12,6
2023-02-19,6
2023-02-26,5
2023-03-05,6
2023-03-12,5
2023-03-19,5
2023-03-26,5
2023-04-02,7
2023-04-09,7
2023-04-16,5
2023-04-23,5
2023-04-30,4
2023-05-07,4
2023-05-14,6
2023-05-21,4
2023-05-28,4
2023-06-04,3
2023-06-11,6
2023-06-18,4
2023-06-25,4
2023-07-02,3
2023-07-09,4
2023-07-16,4
2023-07-23,3
2023-07-30,4
2023-08-06,9
2023-08-13,6
2023-08-20,5
2023-08-27,3
2023-09-03,3
2023-09-10,3
2023-09-17,3
2023-09-24,3
2023-10-01,3
2023-10-08,5
2023-10-15,3
2023-10-22,3
2023-10-29,5
2023-11-05,4
2023-11-12,3
2023-11-19,3
2023-11-26,3
2023-12-03,4
2023-12-10,3
2023-12-17,3
2023-12-24,3
2023-12-31,3
2024-01-07,3
2024-01-14,3
2024-01-21,2
2024-01-28,3
2024-02-04,3
2024-02-11,5
2024-02-18,4
2024-02-25,3
2024-03-03,4
2024-03-10,4
2024-03-17,3
2024-03-24,4
2024-03-31,4
2024-04-07,3
2024-04-14,5
2024-04-21,4
2024-04-28,3
2024-05-05,3
2024-05-12,4
2024-05-19,3
2024-05-26,3
2024-06-02,2
2024-06-09,3
2024-06-16,4
2024-06-23,3
2024-06-30,3
