Category: All categories

Week,Pokémon Legends: Arceus: (Worldwide)
2021-12-26,14
2022-01-02,21
2022-01-09,27
2022-01-16,50
2022-01-23,89
2022-01-30,100
2022-02-06,63
2022-02-13,46
2022-02-20,32
2022-02-27,37
2022-03-06,23
2022-03-13,30
2022-03-20,20
2022-03-27,15
2022-04-03,19
2022-04-10,14
2022-04-17,16
2022-04-24,13
2022-05-01,13
2022-05-08,9
2022-05-15,12
2022-05-22,9
2022-05-29,10
2022-06-05,9
2022-06-12,8
2022-06-19,9
2022-06-26,11
2022-07-03,10
2022-07-10,10
2022-07-17,11
2022-07-24,10
2022-07-31,7
2022-08-07,10
2022-08-14,8
2022-08-21,8
2022-08-28,9
2022-09-04,5
2022-09-11,7
2022-09-18,6
2022-09-25,6
2022-10-02,4
2022-10-09,4
2022-10-16,4
2022-10-23,0
2022-10-30,5
2022-11-06,5
2022-11-13,4
2022-11-20,5
2022-11-27,0
2022-12-04,0
2022-12-11,4
2022-12-18,0
2022-12-25,0
2023-01-01,4
2023-01-08,5
2023-01-15,4
2023-01-22,3
2023-01-29,4
2023-02-05,4
2023-02-12,0
2023-02-19,0
2023-02-26,4
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,3
2023-04-02,5
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,5
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,4
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,5
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,6
2023-08-27,0
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
2024-01-14,0
2024-01-21,0
2024-01-28,0
2024-02-04,0
2024-02-11,0
2024-02-18,0
2024-02-25,14
2024-03-03,0
2024-03-10,0
2024-03-17,0
2024-03-24,0
2024-03-31,5
2024-04-07,0
2024-04-14,0
2024-04-21,0
2024-04-28,0
2024-05-05,0
2024-05-12,0
2024-05-19,0
2024-05-26,0
2024-06-02,0
2024-06-09,0
2024-06-16,0
2024-06-23,<1
2024-06-30,1
