Category: All categories

Week,Pokémon Legends: Arceus: (Worldwide)
2021-12-26,3
2022-01-02,5
2022-01-09,6
2022-01-16,13
2022-01-23,51
2022-01-30,100
2022-02-06,69
2022-02-13,55
2022-02-20,40
2022-02-27,36
2022-03-06,25
2022-03-13,26
2022-03-20,20
2022-03-27,17
2022-04-03,14
2022-04-10,13
2022-04-17,11
2022-04-24,11
2022-05-01,12
2022-05-08,8
2022-05-15,9
2022-05-22,8
2022-05-29,9
2022-06-05,9
2022-06-12,8
2022-06-19,8
2022-06-26,9
2022-07-03,10
2022-07-10,9
2022-07-17,11
2022-07-24,11
2022-07-31,10
2022-08-07,9
2022-08-14,10
2022-08-21,8
2022-08-28,7
2022-09-04,7
2022-09-11,6
2022-09-18,7
2022-09-25,5
2022-10-02,5
2022-10-09,5
2022-10-16,5
2022-10-23,5
2022-10-30,5
2022-11-06,6
2022-11-13,8
2022-11-20,8
2022-11-27,6
2022-12-04,6
2022-12-11,5
2022-12-18,6
2022-12-25,8
2023-01-01,7
2023-01-08,5
2023-01-15,5
2023-01-22,5
2023-01-29,4
2023-02-05,4
2023-02-12,4
2023-02-19,4
2023-02-26,3
2023-03-05,3
2023-03-12,3
2023-03-19,3
2023-03-26,3
2023-04-02,3
2023-04-09,3
2023-04-16,3
2023-04-23,2
2023-04-30,2
2023-05-07,2
2023-05-14,2
2023-05-21,2
2023-05-28,3
2023-06-04,2
2023-06-11,2
2023-06-18,2
2023-06-25,2
2023-07-02,2
2023-07-09,2
2023-07-16,2
2023-07-23,2
2023-07-30,2
2023-08-06,3
2023-08-13,2
2023-08-20,2
2023-08-27,2
2023-09-03,2
2023-09-10,2
2023-09-17,2
2023-09-24,2
2023-10-01,2
2023-10-08,2
2023-10-15,2
2023-10-22,2
2023-10-29,2
2023-11-05,2
2023-11-12,2
2023-11-19,2
2023-11-26,2
2023-12-03,2
2023-12-10,2
2023-12-17,2
2023-12-24,3
2023-12-31,3
2024-01-07,2
2024-01-14,2
2024-01-21,3
2024-01-28,2
2024-02-04,2
2024-02-11,2
2024-02-18,2
2024-02-25,5
2024-03-03,3
2024-03-10,2
2024-03-17,2
2024-03-24,2
2024-03-31,2
2024-04-07,2
2024-04-14,2
2024-04-21,2
2024-04-28,2
2024-05-05,2
2024-05-12,2
2024-05-19,2
2024-05-26,2
2024-06-02,2
2024-06-09,2
2024-06-16,2
2024-06-23,2
2024-06-30,2
