Category: All categories

Week,Pokémon Legends: Arceus: (Worldwide)
2021-12-26,5
2022-01-02,10
2022-01-09,13
2022-01-16,26
2022-01-23,79
2022-01-30,100
2022-02-06,70
2022-02-13,54
2022-02-20,45
2022-02-27,39
2022-03-06,31
2022-03-13,34
2022-03-20,29
2022-03-27,29
2022-04-03,27
2022-04-10,25
2022-04-17,24
2022-04-24,23
2022-05-01,23
2022-05-08,20
2022-05-15,18
2022-05-22,18
2022-05-29,18
2022-06-05,20
2022-06-12,20
2022-06-19,20
2022-06-26,21
2022-07-03,22
2022-07-10,21
2022-07-17,20
2022-07-24,23
2022-07-31,21
2022-08-07,21
2022-08-14,19
2022-08-21,17
2022-08-28,17
2022-09-04,13
2022-09-11,11
2022-09-18,13
2022-09-25,7
2022-10-02,7
2022-10-09,8
2022-10-16,7
2022-10-23,7
2022-10-30,7
2022-11-06,8
2022-11-13,9
2022-11-20,10
2022-11-27,9
2022-12-04,8
2022-12-11,7
2022-12-18,8
2022-12-25,9
2023-01-01,9
2023-01-08,7
2023-01-15,7
2023-01-22,6
2023-01-29,6
2023-02-05,6
2023-02-12,5
2023-02-19,5
2023-02-26,5
2023-03-05,5
2023-03-12,5
2023-03-19,5
2023-03-26,4
2023-04-02,5
2023-04-09,5
2023-04-16,4
2023-04-23,4
2023-04-30,3
2023-05-07,3
2023-05-14,3
2023-05-21,3
2023-05-28,4
2023-06-04,3
2023-06-11,3
2023-06-18,3
2023-06-25,3
2023-07-02,3
2023-07-09,3
2023-07-16,3
2023-07-23,3
2023-07-30,4
2023-08-06,3
2023-08-13,4
2023-08-20,3
2023-08-27,3
2023-09-03,3
2023-09-10,3
2023-09-17,3
2023-09-24,3
2023-10-01,3
2023-10-08,3
2023-10-15,3
2023-10-22,3
2023-10-29,3
2023-11-05,3
2023-11-12,3
2023-11-19,3
2023-11-26,3
2023-12-03,2
2023-12-10,3
2023-12-17,3
2023-12-24,4
2023-12-31,4
2024-01-07,3
2024-01-14,4
2024-01-21,4
2024-01-28,3
2024-02-04,3
2024-02-11,3
2024-02-18,3
2024-02-25,10
2024-03-03,4
2024-03-10,3
2024-03-17,3
2024-03-24,3
2024-03-31,3
2024-04-07,3
2024-04-14,2
2024-04-21,3
2024-04-28,3
2024-05-05,3
2024-05-12,3
2024-05-19,2
2024-05-26,2
2024-06-02,2
2024-06-09,3
2024-06-16,3
2024-06-23,3
2024-06-30,3
