Category: All categories

Week,Pokémon Scarlet and Violet: (Worldwide)
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,7
2022-03-06,4
2022-03-13,4
2022-03-20,3
2022-03-27,3
2022-04-03,5
2022-04-10,6
2022-04-17,6
2022-04-24,9
2022-05-01,7
2022-05-08,8
2022-05-15,5
2022-05-22,6
2022-05-29,14
2022-06-05,7
2022-06-12,7
2022-06-19,5
2022-06-26,7
2022-07-03,7
2022-07-10,10
2022-07-17,10
2022-07-24,8
2022-07-31,15
2022-08-07,9
2022-08-14,7
2022-08-21,7
2022-08-28,7
2022-09-04,12
2022-09-11,9
2022-09-18,8
2022-09-25,10
2022-10-02,12
2022-10-09,9
2022-10-16,12
2022-10-23,15
2022-10-30,21
2022-11-06,38
2022-11-13,73
2022-11-20,100
2022-11-27,67
2022-12-04,49
2022-12-11,46
2022-12-18,33
2022-12-25,51
2023-01-01,34
2023-01-08,26
2023-01-15,23
2023-01-22,21
2023-01-29,23
2023-02-05,16
2023-02-12,15
2023-02-19,17
2023-02-26,27
2023-03-05,17
2023-03-12,15
2023-03-19,10
2023-03-26,13
2023-04-02,14
2023-04-09,8
2023-04-16,10
2023-04-23,9
2023-04-30,8
2023-05-07,8
2023-05-14,9
2023-05-21,9
2023-05-28,11
2023-06-04,6
2023-06-11,7
2023-06-18,8
2023-06-25,6
2023-07-02,4
2023-07-09,7
2023-07-16,5
2023-07-23,6
2023-07-30,6
2023-08-06,7
2023-08-13,9
2023-08-20,7
2023-08-27,10
2023-09-03,9
2023-09-10,15
2023-09-17,14
2023-09-24,8
2023-10-01,10
2023-10-08,8
2023-10-15,6
2023-10-22,7
2023-10-29,7
2023-11-05,7
2023-11-12,7
2023-11-19,5
2023-11-26,7
2023-12-03,11
2023-12-10,23
2023-12-17,24
2023-12-24,17
2023-12-31,12
2024-01-07,14
2024-01-14,9
2024-01-21,7
2024-01-28,6
2024-02-04,6
2024-02-11,5
2024-02-18,5
2024-02-25,7
2024-03-03,6
2024-03-10,7
2024-03-17,6
2024-03-24,4
2024-03-31,3
2024-04-07,3
2024-04-14,0
2024-04-21,5
2024-04-28,3
2024-05-05,4
2024-05-12,4
2024-05-19,3
2024-05-26,4
2024-06-02,4
2024-06-09,3
2024-06-16,3
2024-06-23,4
2024-06-30,3
