Category: All categories

Week,Pokémon Scarlet and Violet: (Worldwide)
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,2
2022-03-06,1
2022-03-13,1
2022-03-20,<1
2022-03-27,1
2022-04-03,<1
2022-04-10,<1
2022-04-17,<1
2022-04-24,<1
2022-05-01,<1
2022-05-08,<1
2022-05-15,<1
2022-05-22,<1
2022-05-29,5
2022-06-05,2
2022-06-12,1
2022-06-19,1
2022-06-26,1
2022-07-03,1
2022-07-10,1
2022-07-17,1
2022-07-24,1
2022-07-31,4
2022-08-07,2
2022-08-14,2
2022-08-21,2
2022-08-28,2
2022-09-04,3
2022-09-11,2
2022-09-18,2
2022-09-25,2
2022-10-02,3
2022-10-09,3
2022-10-16,3
2022-10-23,4
2022-10-30,6
2022-11-06,12
2022-11-13,51
2022-11-20,100
2022-11-27,74
2022-12-04,57
2022-12-11,47
2022-12-18,39
2022-12-25,51
2023-01-01,37
2023-01-08,24
2023-01-15,20
2023-01-22,18
2023-01-29,17
2023-02-05,14
2023-02-12,11
2023-02-19,11
2023-02-26,16
2023-03-05,11
2023-03-12,10
2023-03-19,8
2023-03-26,8
2023-04-02,7
2023-04-09,6
2023-04-16,6
2023-04-23,5
2023-04-30,5
2023-05-07,5
2023-05-14,4
2023-05-21,4
2023-05-28,5
2023-06-04,4
2023-06-11,4
2023-06-18,4
2023-06-25,4
2023-07-02,4
2023-07-09,4
2023-07-16,4
2023-07-23,4
2023-07-30,4
2023-08-06,7
2023-08-13,6
2023-08-20,5
2023-08-27,5
2023-09-03,6
2023-09-10,12
2023-09-17,11
2023-09-24,7
2023-10-01,7
2023-10-08,6
2023-10-15,4
2023-10-22,4
2023-10-29,4
2023-11-05,4
2023-11-12,4
2023-11-19,5
2023-11-26,4
2023-12-03,6
2023-12-10,11
2023-12-17,14
2023-12-24,14
2023-12-31,11
2024-01-07,9
2024-01-14,8
2024-01-21,6
2024-01-28,5
2024-02-04,4
2024-02-11,4
2024-02-18,4
2024-02-25,4
2024-03-03,4
2024-03-10,4
2024-03-17,4
2024-03-24,4
2024-03-31,4
2024-04-07,3
2024-04-14,3
2024-04-21,3
2024-04-28,3
2024-05-05,3
2024-05-12,3
2024-05-19,3
2024-05-26,3
2024-06-02,3
2024-06-09,3
2024-06-16,3
2024-06-23,3
2024-06-30,3
