Category: All categories

Week,Sonic Frontiers: (Worldwide)
2021-12-26,1
2022-01-02,2
2022-01-09,1
2022-01-16,1
2022-01-23,1
2022-01-30,1
2022-02-06,1
2022-02-13,1
2022-02-20,1
2022-02-27,1
2022-03-06,1
2022-03-13,1
2022-03-20,1
2022-03-27,1
2022-04-03,1
2022-04-10,2
2022-04-17,2
2022-04-24,2
2022-05-01,2
2022-05-08,2
2022-05-15,2
2022-05-22,2
2022-05-29,10
2022-06-05,6
2022-06-12,5
2022-06-19,3
2022-06-26,6
2022-07-03,3
2022-07-10,2
2022-07-17,2
2022-07-24,2
2022-07-31,2
2022-08-07,2
2022-08-14,2
2022-08-21,9
2022-08-28,6
2022-09-04,6
2022-09-11,6
2022-09-18,5
2022-09-25,5
2022-10-02,7
2022-10-09,7
2022-10-16,8
2022-10-23,9
2022-10-30,25
2022-11-06,100
2022-11-13,59
2022-11-20,34
2022-11-27,24
2022-12-04,23
2022-12-11,20
2022-12-18,23
2022-12-25,25
2023-01-01,17
2023-01-08,11
2023-01-15,9
2023-01-22,9
2023-01-29,8
2023-02-05,7
2023-02-12,7
2023-02-19,7
2023-02-26,6
2023-03-05,6
2023-03-12,6
2023-03-19,9
2023-03-26,7
2023-04-02,5
2023-04-09,5
2023-04-16,5
2023-04-23,5
2023-04-30,4
2023-05-07,5
2023-05-14,4
2023-05-21,4
2023-05-28,4
2023-06-04,4
2023-06-11,4
2023-06-18,6
2023-06-25,6
2023-07-02,5
2023-07-09,5
2023-07-16,4
2023-07-23,4
2023-07-30,4
2023-08-06,4
2023-08-13,3
2023-08-20,5
2023-08-27,4
2023-09-03,4
2023-09-10,5
2023-09-17,5
2023-09-24,15
2023-10-01,11
2023-10-08,7
2023-10-15,5
2023-10-22,4
2023-10-29,4
2023-11-05,4
2023-11-12,4
2023-11-19,5
2023-11-26,4
2023-12-03,4
2023-12-10,4
2023-12-17,4
2023-12-24,5
2023-12-31,4
2024-01-07,3
2024-01-14,3
2024-01-21,3
2024-01-28,4
2024-02-04,3
2024-02-11,3
2024-02-18,3
2024-02-25,3
2024-03-03,3
2024-03-10,3
2024-03-17,3
2024-03-24,3
2024-03-31,3
2024-04-07,3
2024-04-14,2
2024-04-21,3
2024-04-28,3
2024-05-05,3
2024-05-12,3
2024-05-19,3
2024-05-26,3
2024-06-02,3
2024-06-09,3
2024-06-16,3
2024-06-23,3
2024-06-30,3
