Category: All categories

Week,Sonic Frontiers: (Worldwide)
2021-12-26,2
2022-01-02,2
2022-01-09,2
2022-01-16,2
2022-01-23,2
2022-01-30,2
2022-02-06,1
2022-02-13,1
2022-02-20,1
2022-02-27,1
2022-03-06,1
2022-03-13,1
2022-03-20,2
2022-03-27,2
2022-04-03,1
2022-04-10,2
2022-04-17,2
2022-04-24,2
2022-05-01,3
2022-05-08,3
2022-05-15,2
2022-05-22,2
2022-05-29,33
2022-06-05,16
2022-06-12,12
2022-06-19,5
2022-06-26,11
2022-07-03,5
2022-07-10,4
2022-07-17,4
2022-07-24,4
2022-07-31,4
2022-08-07,3
2022-08-14,4
2022-08-21,17
2022-08-28,11
2022-09-04,14
2022-09-11,14
2022-09-18,11
2022-09-25,10
2022-10-02,9
2022-10-09,10
2022-10-16,12
2022-10-23,14
2022-10-30,33
2022-11-06,100
2022-11-13,72
2022-11-20,48
2022-11-27,35
2022-12-04,32
2022-12-11,24
2022-12-18,24
2022-12-25,28
2023-01-01,23
2023-01-08,18
2023-01-15,17
2023-01-22,16
2023-01-29,14
2023-02-05,13
2023-02-12,13
2023-02-19,12
2023-02-26,10
2023-03-05,10
2023-03-12,10
2023-03-19,15
2023-03-26,12
2023-04-02,10
2023-04-09,10
2023-04-16,9
2023-04-23,9
2023-04-30,9
2023-05-07,9
2023-05-14,8
2023-05-21,8
2023-05-28,7
2023-06-04,8
2023-06-11,6
2023-06-18,10
2023-06-25,10
2023-07-02,8
2023-07-09,8
2023-07-16,7
2023-07-23,7
2023-07-30,6
2023-08-06,6
2023-08-13,6
2023-08-20,10
2023-08-27,7
2023-09-03,8
2023-09-10,10
2023-09-17,9
2023-09-24,28
2023-10-01,24
2023-10-08,13
2023-10-15,10
2023-10-22,8
2023-10-29,6
2023-11-05,6
2023-11-12,6
2023-11-19,7
2023-11-26,6
2023-12-03,6
2023-12-10,6
2023-12-17,6
2023-12-24,6
2023-12-31,6
2024-01-07,5
2024-01-14,6
2024-01-21,5
2024-01-28,5
2024-02-04,5
2024-02-11,5
2024-02-18,5
2024-02-25,5
2024-03-03,5
2024-03-10,5
2024-03-17,5
2024-03-24,5
2024-03-31,5
2024-04-07,4
2024-04-14,5
2024-04-21,5
2024-04-28,5
2024-05-05,5
2024-05-12,5
2024-05-19,4
2024-05-26,4
2024-06-02,4
2024-06-09,5
2024-06-16,4
2024-06-23,5
2024-06-30,5
