Category: All categories

Week,Splatoon 3: (Worldwide)
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,10
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,0
2022-04-03,7
2022-04-10,0
2022-04-17,11
2022-04-24,11
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,9
2022-07-10,8
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,25
2022-08-14,19
2022-08-21,45
2022-08-28,65
2022-09-04,80
2022-09-11,100
2022-09-18,68
2022-09-25,44
2022-10-02,31
2022-10-09,47
2022-10-16,32
2022-10-23,22
2022-10-30,19
2022-11-06,26
2022-11-13,32
2022-11-20,23
2022-11-27,23
2022-12-04,13
2022-12-11,24
2022-12-18,21
2022-12-25,23
2023-01-01,18
2023-01-08,24
2023-01-15,13
2023-01-22,11
2023-01-29,11
2023-02-05,20
2023-02-12,23
2023-02-19,26
2023-02-26,20
2023-03-05,16
2023-03-12,14
2023-03-19,13
2023-03-26,15
2023-04-02,17
2023-04-09,9
2023-04-16,11
2023-04-23,10
2023-04-30,11
2023-05-07,14
2023-05-14,11
2023-05-21,12
2023-05-28,13
2023-06-04,12
2023-06-11,10
2023-06-18,7
2023-06-25,10
2023-07-02,0
2023-07-09,12
2023-07-16,0
2023-07-23,11
2023-07-30,0
2023-08-06,9
2023-08-13,13
2023-08-20,0
2023-08-27,21
2023-09-03,18
2023-09-10,11
2023-09-17,11
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,15
2023-11-05,0
2023-11-12,11
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,10
2023-12-17,12
2023-12-24,10
2023-12-31,0
2024-01-07,0
2024-01-14,9
2024-01-21,0
2024-01-28,0
2024-02-04,0
2024-02-11,0
2024-02-18,15
2024-02-25,12
2024-03-03,0
2024-03-10,0
2024-03-17,0
2024-03-24,11
2024-03-31,0
2024-04-07,0
2024-04-14,0
2024-04-21,0
2024-04-28,0
2024-05-05,0
2024-05-12,0
2024-05-19,10
2024-05-26,14
2024-06-02,0
2024-06-09,0
2024-06-16,0
2024-06-23,1
2024-06-30,4
