Category: All categories

Week,Splatoon 3: (Worldwide)
2021-12-26,2
2022-01-02,2
2022-01-09,2
2022-01-16,1
2022-01-23,2
2022-01-30,2
2022-02-06,3
2022-02-13,2
2022-02-20,1
2022-02-27,1
2022-03-06,1
2022-03-13,1
2022-03-20,2
2022-03-27,1
2022-04-03,2
2022-04-10,2
2022-04-17,4
2022-04-24,4
2022-05-01,2
2022-05-08,2
2022-05-15,2
2022-05-22,2
2022-05-29,2
2022-06-05,2
2022-06-12,2
2022-06-19,2
2022-06-26,2
2022-07-03,4
2022-07-10,3
2022-07-17,3
2022-07-24,3
2022-07-31,4
2022-08-07,19
2022-08-14,17
2022-08-21,35
2022-08-28,43
2022-09-04,75
2022-09-11,100
2022-09-18,68
2022-09-25,56
2022-10-02,45
2022-10-09,42
2022-10-16,29
2022-10-23,24
2022-10-30,18
2022-11-06,20
2022-11-13,25
2022-11-20,17
2022-11-27,20
2022-12-04,17
2022-12-11,16
2022-12-18,16
2022-12-25,21
2023-01-01,19
2023-01-08,15
2023-01-15,13
2023-01-22,11
2023-01-29,11
2023-02-05,15
2023-02-12,14
2023-02-19,13
2023-02-26,18
2023-03-05,13
2023-03-12,11
2023-03-19,11
2023-03-26,13
2023-04-02,12
2023-04-09,8
2023-04-16,7
2023-04-23,7
2023-04-30,10
2023-05-07,7
2023-05-14,7
2023-05-21,7
2023-05-28,11
2023-06-04,7
2023-06-11,7
2023-06-18,7
2023-06-25,7
2023-07-02,7
2023-07-09,7
2023-07-16,7
2023-07-23,6
2023-07-30,6
2023-08-06,6
2023-08-13,7
2023-08-20,7
2023-08-27,9
2023-09-03,8
2023-09-10,8
2023-09-17,6
2023-09-24,5
2023-10-01,5
2023-10-08,5
2023-10-15,6
2023-10-22,6
2023-10-29,5
2023-11-05,4
2023-11-12,6
2023-11-19,6
2023-11-26,8
2023-12-03,7
2023-12-10,6
2023-12-17,6
2023-12-24,6
2023-12-31,6
2024-01-07,5
2024-01-14,5
2024-01-21,5
2024-01-28,5
2024-02-04,5
2024-02-11,7
2024-02-18,11
2024-02-25,9
2024-03-03,7
2024-03-10,6
2024-03-17,7
2024-03-24,6
2024-03-31,5
2024-04-07,5
2024-04-14,6
2024-04-21,5
2024-04-28,4
2024-05-05,3
2024-05-12,5
2024-05-19,5
2024-05-26,6
2024-06-02,5
2024-06-09,5
2024-06-16,4
2024-06-23,4
2024-06-30,4
