Category: All categories

Week,Splatoon 3: (Worldwide)
2021-12-26,2
2022-01-02,2
2022-01-09,2
2022-01-16,2
2022-01-23,2
2022-01-30,2
2022-02-06,7
2022-02-13,3
2022-02-20,2
2022-02-27,2
2022-03-06,2
2022-03-13,2
2022-03-20,2
2022-03-27,2
2022-04-03,2
2022-04-10,2
2022-04-17,8
2022-04-24,6
2022-05-01,3
2022-05-08,3
2022-05-15,3
2022-05-22,3
2022-05-29,3
2022-06-05,2
2022-06-12,2
2022-06-19,3
2022-06-26,3
2022-07-03,3
2022-07-10,3
2022-07-17,3
2022-07-24,4
2022-07-31,4
2022-08-07,38
2022-08-14,23
2022-08-21,43
2022-08-28,47
2022-09-04,80
2022-09-11,100
2022-09-18,83
2022-09-25,65
2022-10-02,52
2022-10-09,51
2022-10-16,39
2022-10-23,34
2022-10-30,31
2022-11-06,28
2022-11-13,34
2022-11-20,25
2022-11-27,29
2022-12-04,24
2022-12-11,21
2022-12-18,22
2022-12-25,27
2023-01-01,26
2023-01-08,23
2023-01-15,19
2023-01-22,18
2023-01-29,18
2023-02-05,23
2023-02-12,23
2023-02-19,23
2023-02-26,29
2023-03-05,22
2023-03-12,23
2023-03-19,24
2023-03-26,26
2023-04-02,26
2023-04-09,19
2023-04-16,17
2023-04-23,15
2023-04-30,17
2023-05-07,13
2023-05-14,16
2023-05-21,13
2023-05-28,16
2023-06-04,14
2023-06-11,11
2023-06-18,12
2023-06-25,11
2023-07-02,11
2023-07-09,12
2023-07-16,13
2023-07-23,13
2023-07-30,12
2023-08-06,12
2023-08-13,16
2023-08-20,15
2023-08-27,16
2023-09-03,13
2023-09-10,16
2023-09-17,12
2023-09-24,10
2023-10-01,11
2023-10-08,11
2023-10-15,10
2023-10-22,10
2023-10-29,10
2023-11-05,9
2023-11-12,12
2023-11-19,11
2023-11-26,14
2023-12-03,12
2023-12-10,10
2023-12-17,10
2023-12-24,11
2023-12-31,11
2024-01-07,11
2024-01-14,10
2024-01-21,11
2024-01-28,10
2024-02-04,10
2024-02-11,15
2024-02-18,22
2024-02-25,18
2024-03-03,16
2024-03-10,14
2024-03-17,16
2024-03-24,15
2024-03-31,15
2024-04-07,12
2024-04-14,12
2024-04-21,11
2024-04-28,10
2024-05-05,9
2024-05-12,12
2024-05-19,11
2024-05-26,11
2024-06-02,12
2024-06-09,11
2024-06-16,10
2024-06-23,9
2024-06-30,8
