Category: All categories

Week,Stranger of Paradise: Final Fantasy Origin: (Worldwide)
2021-12-26,3
2022-01-02,3
2022-01-09,3
2022-01-16,3
2022-01-23,17
2022-01-30,7
2022-02-06,6
2022-02-13,7
2022-02-20,8
2022-02-27,12
2022-03-06,33
2022-03-13,100
2022-03-20,68
2022-03-27,35
2022-04-03,22
2022-04-10,16
2022-04-17,11
2022-04-24,9
2022-05-01,9
2022-05-08,7
2022-05-15,9
2022-05-22,8
2022-05-29,6
2022-06-05,6
2022-06-12,5
2022-06-19,4
2022-06-26,6
2022-07-03,5
2022-07-10,7
2022-07-17,11
2022-07-24,12
2022-07-31,6
2022-08-07,5
2022-08-14,4
2022-08-21,3
2022-08-28,3
2022-09-04,4
2022-09-11,4
2022-09-18,4
2022-09-25,4
2022-10-02,3
2022-10-09,3
2022-10-16,3
2022-10-23,5
2022-10-30,7
2022-11-06,4
2022-11-13,3
2022-11-20,3
2022-11-27,3
2022-12-04,3
2022-12-11,3
2022-12-18,5
2022-12-25,6
2023-01-01,5
2023-01-08,4
2023-01-15,5
2023-01-22,7
2023-01-29,8
2023-02-05,6
2023-02-12,4
2023-02-19,4
2023-02-26,4
2023-03-05,3
2023-03-12,5
2023-03-19,4
2023-03-26,3
2023-04-02,7
2023-04-09,9
2023-04-16,6
2023-04-23,4
2023-04-30,4
2023-05-07,3
2023-05-14,3
2023-05-21,3
2023-05-28,3
2023-06-04,3
2023-06-11,3
2023-06-18,4
2023-06-25,6
2023-07-02,6
2023-07-09,5
2023-07-16,4
2023-07-23,3
2023-07-30,3
2023-08-06,2
2023-08-13,2
2023-08-20,2
2023-08-27,2
2023-09-03,2
2023-09-10,2
2023-09-17,2
2023-09-24,2
2023-10-01,2
2023-10-08,2
2023-10-15,2
2023-10-22,2
2023-10-29,2
2023-11-05,2
2023-11-12,2
2023-11-19,2
2023-11-26,2
2023-12-03,2
2023-12-10,5
2023-12-17,10
2023-12-24,8
2023-12-31,7
2024-01-07,6
2024-01-14,5
2024-01-21,4
2024-01-28,3
2024-02-04,4
2024-02-11,4
2024-02-18,3
2024-02-25,3
2024-03-03,4
2024-03-10,3
2024-03-17,4
2024-03-24,3
2024-03-31,3
2024-04-07,2
2024-04-14,3
2024-04-21,3
2024-04-28,3
2024-05-05,2
2024-05-12,2
2024-05-19,2
2024-05-26,2
2024-06-02,2
2024-06-09,2
2024-06-16,2
2024-06-23,2
2024-06-30,2
