Category: All categories

Week,Tiny Tina's Wonderlands: (Worldwide)
2021-12-26,3
2022-01-02,3
2022-01-09,3
2022-01-16,3
2022-01-23,7
2022-01-30,14
2022-02-06,8
2022-02-13,6
2022-02-20,6
2022-02-27,9
2022-03-06,9
2022-03-13,13
2022-03-20,71
2022-03-27,100
2022-04-03,61
2022-04-10,42
2022-04-17,39
2022-04-24,24
2022-05-01,17
2022-05-08,13
2022-05-15,12
2022-05-22,11
2022-05-29,9
2022-06-05,8
2022-06-12,7
2022-06-19,10
2022-06-26,13
2022-07-03,10
2022-07-10,8
2022-07-17,7
2022-07-24,7
2022-07-31,6
2022-08-07,8
2022-08-14,8
2022-08-21,6
2022-08-28,5
2022-09-04,5
2022-09-11,5
2022-09-18,5
2022-09-25,5
2022-10-02,4
2022-10-09,4
2022-10-16,4
2022-10-23,4
2022-10-30,4
2022-11-06,4
2022-11-13,4
2022-11-20,5
2022-11-27,5
2022-12-04,3
2022-12-11,3
2022-12-18,4
2022-12-25,7
2023-01-01,6
2023-01-08,5
2023-01-15,5
2023-01-22,4
2023-01-29,3
2023-02-05,3
2023-02-12,3
2023-02-19,4
2023-02-26,3
2023-03-05,3
2023-03-12,4
2023-03-19,4
2023-03-26,3
2023-04-02,3
2023-04-09,3
2023-04-16,5
2023-04-23,5
2023-04-30,3
2023-05-07,3
2023-05-14,2
2023-05-21,3
2023-05-28,3
2023-06-04,2
2023-06-11,2
2023-06-18,2
2023-06-25,2
2023-07-02,3
2023-07-09,3
2023-07-16,4
2023-07-23,3
2023-07-30,3
2023-08-06,2
2023-08-13,2
2023-08-20,2
2023-08-27,2
2023-09-03,3
2023-09-10,2
2023-09-17,2
2023-09-24,2
2023-10-01,2
2023-10-08,2
2023-10-15,2
2023-10-22,2
2023-10-29,1
2023-11-05,2
2023-11-12,2
2023-11-19,3
2023-11-26,3
2023-12-03,2
2023-12-10,2
2023-12-17,2
2023-12-24,3
2023-12-31,3
2024-01-07,4
2024-01-14,7
2024-01-21,6
2024-01-28,5
2024-02-04,4
2024-02-11,4
2024-02-18,4
2024-02-25,3
2024-03-03,2
2024-03-10,2
2024-03-17,2
2024-03-24,2
2024-03-31,2
2024-04-07,2
2024-04-14,2
2024-04-21,2
2024-04-28,1
2024-05-05,1
2024-05-12,2
2024-05-19,2
2024-05-26,2
2024-06-02,2
2024-06-09,2
2024-06-16,1
2024-06-23,1
2024-06-30,2
