Category: All categories

Week,Total War: Warhammer III: (Worldwide)
2021-12-26,4
2022-01-02,7
2022-01-09,7
2022-01-16,16
2022-01-23,15
2022-01-30,16
2022-02-06,18
2022-02-13,100
2022-02-20,71
2022-02-27,32
2022-03-06,23
2022-03-13,15
2022-03-20,11
2022-03-27,11
2022-04-03,14
2022-04-10,12
2022-04-17,12
2022-04-24,11
2022-05-01,8
2022-05-08,7
2022-05-15,8
2022-05-22,7
2022-05-29,7
2022-06-05,7
2022-06-12,7
2022-06-19,9
2022-06-26,10
2022-07-03,12
2022-07-10,12
2022-07-17,12
2022-07-24,10
2022-07-31,11
2022-08-07,14
2022-08-14,18
2022-08-21,46
2022-08-28,37
2022-09-04,27
2022-09-11,22
2022-09-18,18
2022-09-25,15
2022-10-02,14
2022-10-09,14
2022-10-16,16
2022-10-23,15
2022-10-30,13
2022-11-06,11
2022-11-13,11
2022-11-20,12
2022-11-27,11
2022-12-04,10
2022-12-11,10
2022-12-18,13
2022-12-25,15
2023-01-01,14
2023-01-08,12
2023-01-15,11
2023-01-22,11
2023-01-29,14
2023-02-05,11
2023-02-12,14
2023-02-19,15
2023-02-26,13
2023-03-05,15
2023-03-12,25
2023-03-19,20
2023-03-26,15
2023-04-02,17
2023-04-09,25
2023-04-16,19
2023-04-23,15
2023-04-30,13
2023-05-07,14
2023-05-14,12
2023-05-21,14
2023-05-28,15
2023-06-04,11
2023-06-11,11
2023-06-18,10
2023-06-25,12
2023-07-02,13
2023-07-09,14
2023-07-16,13
2023-07-23,15
2023-07-30,14
2023-08-06,13
2023-08-13,12
2023-08-20,10
2023-08-27,12
2023-09-03,10
2023-09-10,10
2023-09-17,10
2023-09-24,11
2023-10-01,10
2023-10-08,9
2023-10-15,10
2023-10-22,9
2023-10-29,9
2023-11-05,8
2023-11-12,9
2023-11-19,12
2023-11-26,12
2023-12-03,10
2023-12-10,9
2023-12-17,11
2023-12-24,14
2023-12-31,14
2024-01-07,11
2024-01-14,11
2024-01-21,11
2024-01-28,12
2024-02-04,11
2024-02-11,12
2024-02-18,13
2024-02-25,13
2024-03-03,12
2024-03-10,13
2024-03-17,13
2024-03-24,13
2024-03-31,14
2024-04-07,16
2024-04-14,15
2024-04-21,17
2024-04-28,27
2024-05-05,22
2024-05-12,17
2024-05-19,18
2024-05-26,23
2024-06-02,18
2024-06-09,15
2024-06-16,14
2024-06-23,19
2024-06-30,18
