Category: All categories

Week,Total War: Warhammer III: (Worldwide)
2021-12-26,10
2022-01-02,12
2022-01-09,12
2022-01-16,39
2022-01-23,43
2022-01-30,39
2022-02-06,40
2022-02-13,100
2022-02-20,72
2022-02-27,34
2022-03-06,25
2022-03-13,17
2022-03-20,13
2022-03-27,13
2022-04-03,14
2022-04-10,12
2022-04-17,11
2022-04-24,12
2022-05-01,11
2022-05-08,10
2022-05-15,11
2022-05-22,10
2022-05-29,13
2022-06-05,12
2022-06-12,11
2022-06-19,12
2022-06-26,13
2022-07-03,14
2022-07-10,17
2022-07-17,21
2022-07-24,19
2022-07-31,21
2022-08-07,26
2022-08-14,33
2022-08-21,41
2022-08-28,37
2022-09-04,26
2022-09-11,21
2022-09-18,18
2022-09-25,16
2022-10-02,16
2022-10-09,18
2022-10-16,22
2022-10-23,19
2022-10-30,16
2022-11-06,15
2022-11-13,14
2022-11-20,15
2022-11-27,16
2022-12-04,14
2022-12-11,14
2022-12-18,15
2022-12-25,17
2023-01-01,18
2023-01-08,17
2023-01-15,16
2023-01-22,15
2023-01-29,16
2023-02-05,15
2023-02-12,24
2023-02-19,22
2023-02-26,16
2023-03-05,20
2023-03-12,38
2023-03-19,27
2023-03-26,23
2023-04-02,24
2023-04-09,27
2023-04-16,22
2023-04-23,19
2023-04-30,19
2023-05-07,18
2023-05-14,16
2023-05-21,21
2023-05-28,19
2023-06-04,18
2023-06-11,15
2023-06-18,15
2023-06-25,15
2023-07-02,17
2023-07-09,16
2023-07-16,17
2023-07-23,21
2023-07-30,19
2023-08-06,21
2023-08-13,20
2023-08-20,18
2023-08-27,17
2023-09-03,15
2023-09-10,15
2023-09-17,16
2023-09-24,15
2023-10-01,15
2023-10-08,14
2023-10-15,14
2023-10-22,14
2023-10-29,14
2023-11-05,12
2023-11-12,13
2023-11-19,17
2023-11-26,17
2023-12-03,16
2023-12-10,15
2023-12-17,15
2023-12-24,18
2023-12-31,16
2024-01-07,18
2024-01-14,15
2024-01-21,15
2024-01-28,14
2024-02-04,14
2024-02-11,14
2024-02-18,15
2024-02-25,15
2024-03-03,15
2024-03-10,16
2024-03-17,20
2024-03-24,16
2024-03-31,18
2024-04-07,22
2024-04-14,23
2024-04-21,22
2024-04-28,23
2024-05-05,22
2024-05-12,18
2024-05-19,19
2024-05-26,23
2024-06-02,18
2024-06-09,18
2024-06-16,17
2024-06-23,19
2024-06-30,20
