Category: All categories

Week,Tunic: (Worldwide)
2021-12-26,1
2022-01-02,1
2022-01-09,1
2022-01-16,1
2022-01-23,1
2022-01-30,1
2022-02-06,1
2022-02-13,1
2022-02-20,2
2022-02-27,3
2022-03-06,3
2022-03-13,78
2022-03-20,100
2022-03-27,65
2022-04-03,47
2022-04-10,39
2022-04-17,29
2022-04-24,22
2022-05-01,21
2022-05-08,21
2022-05-15,18
2022-05-22,20
2022-05-29,21
2022-06-05,20
2022-06-12,18
2022-06-19,19
2022-06-26,22
2022-07-03,19
2022-07-10,17
2022-07-17,15
2022-07-24,14
2022-07-31,13
2022-08-07,13
2022-08-14,13
2022-08-21,13
2022-08-28,12
2022-09-04,12
2022-09-11,22
2022-09-18,18
2022-09-25,35
2022-10-02,35
2022-10-09,28
2022-10-16,24
2022-10-23,20
2022-10-30,17
2022-11-06,15
2022-11-13,20
2022-11-20,16
2022-11-27,16
2022-12-04,24
2022-12-11,25
2022-12-18,29
2022-12-25,35
2023-01-01,33
2023-01-08,27
2023-01-15,25
2023-01-22,24
2023-01-29,21
2023-02-05,19
2023-02-12,18
2023-02-19,16
2023-02-26,15
2023-03-05,18
2023-03-12,15
2023-03-19,13
2023-03-26,14
2023-04-02,12
2023-04-09,12
2023-04-16,12
2023-04-23,14
2023-04-30,14
2023-05-07,16
2023-05-14,12
2023-05-21,11
2023-05-28,10
2023-06-04,9
2023-06-11,10
2023-06-18,9
2023-06-25,10
2023-07-02,11
2023-07-09,12
2023-07-16,11
2023-07-23,11
2023-07-30,12
2023-08-06,14
2023-08-13,13
2023-08-20,12
2023-08-27,12
2023-09-03,11
2023-09-10,9
2023-09-17,10
2023-09-24,11
2023-10-01,10
2023-10-08,10
2023-10-15,8
2023-10-22,6
2023-10-29,6
2023-11-05,7
2023-11-12,10
2023-11-19,11
2023-11-26,13
2023-12-03,12
2023-12-10,11
2023-12-17,14
2023-12-24,18
2023-12-31,18
2024-01-07,13
2024-01-14,13
2024-01-21,13
2024-01-28,11
2024-02-04,12
2024-02-11,11
2024-02-18,9
2024-02-25,8
2024-03-03,9
2024-03-10,9
2024-03-17,9
2024-03-24,11
2024-03-31,9
2024-04-07,8
2024-04-14,8
2024-04-21,11
2024-04-28,25
2024-05-05,35
2024-05-12,49
2024-05-19,38
2024-05-26,35
2024-06-02,30
2024-06-09,23
2024-06-16,18
2024-06-23,18
2024-06-30,21
