Category: All categories

Week,WWE 2K22: (Worldwide)
2021-12-26,5
2022-01-02,6
2022-01-09,5
2022-01-16,20
2022-01-23,14
2022-01-30,13
2022-02-06,13
2022-02-13,21
2022-02-20,21
2022-02-27,31
2022-03-06,100
2022-03-13,75
2022-03-20,51
2022-03-27,38
2022-04-03,35
2022-04-10,33
2022-04-17,34
2022-04-24,31
2022-05-01,23
2022-05-08,20
2022-05-15,22
2022-05-22,16
2022-05-29,16
2022-06-05,18
2022-06-12,15
2022-06-19,15
2022-06-26,17
2022-07-03,15
2022-07-10,15
2022-07-17,16
2022-07-24,15
2022-07-31,16
2022-08-07,12
2022-08-14,11
2022-08-21,11
2022-08-28,10
2022-09-04,10
2022-09-11,9
2022-09-18,8
2022-09-25,9
2022-10-02,9
2022-10-09,9
2022-10-16,8
2022-10-23,8
2022-10-30,8
2022-11-06,8
2022-11-13,8
2022-11-20,10
2022-11-27,9
2022-12-04,9
2022-12-11,10
2022-12-18,11
2022-12-25,16
2023-01-01,17
2023-01-08,15
2023-01-15,14
2023-01-22,13
2023-01-29,14
2023-02-05,13
2023-02-12,11
2023-02-19,12
2023-02-26,10
2023-03-05,10
2023-03-12,11
2023-03-19,9
2023-03-26,7
2023-04-02,7
2023-04-09,7
2023-04-16,5
2023-04-23,5
2023-04-30,4
2023-05-07,4
2023-05-14,4
2023-05-21,4
2023-05-28,4
2023-06-04,3
2023-06-11,3
2023-06-18,3
2023-06-25,3
2023-07-02,3
2023-07-09,3
2023-07-16,3
2023-07-23,3
2023-07-30,3
2023-08-06,3
2023-08-13,3
2023-08-20,3
2023-08-27,3
2023-09-03,2
2023-09-10,2
2023-09-17,2
2023-09-24,2
2023-10-01,2
2023-10-08,2
2023-10-15,2
2023-10-22,2
2023-10-29,2
2023-11-05,2
2023-11-12,2
2023-11-19,2
2023-11-26,2
2023-12-03,2
2023-12-10,2
2023-12-17,2
2023-12-24,3
2023-12-31,2
2024-01-07,2
2024-01-14,2
2024-01-21,2
2024-01-28,2
2024-02-04,2
2024-02-11,2
2024-02-18,2
2024-02-25,2
2024-03-03,2
2024-03-10,2
2024-03-17,2
2024-03-24,2
2024-03-31,2
2024-04-07,2
2024-04-14,2
2024-04-21,2
2024-04-28,2
2024-05-05,1
2024-05-12,1
2024-05-19,1
2024-05-26,1
2024-06-02,1
2024-06-09,1
2024-06-16,1
2024-06-23,1
2024-06-30,1
