Category: All categories

Week,Xenoblade Chronicles 3: (Worldwide)
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,<1
2022-02-13,3
2022-02-20,2
2022-02-27,1
2022-03-06,1
2022-03-13,1
2022-03-20,1
2022-03-27,1
2022-04-03,1
2022-04-10,1
2022-04-17,12
2022-04-24,5
2022-05-01,4
2022-05-08,3
2022-05-15,3
2022-05-22,3
2022-05-29,4
2022-06-05,9
2022-06-12,5
2022-06-19,11
2022-06-26,9
2022-07-03,8
2022-07-10,9
2022-07-17,17
2022-07-24,67
2022-07-31,100
2022-08-07,91
2022-08-14,84
2022-08-21,61
2022-08-28,51
2022-09-04,41
2022-09-11,31
2022-09-18,28
2022-09-25,21
2022-10-02,21
2022-10-09,24
2022-10-16,18
2022-10-23,15
2022-10-30,12
2022-11-06,11
2022-11-13,15
2022-11-20,10
2022-11-27,8
2022-12-04,10
2022-12-11,9
2022-12-18,10
2022-12-25,13
2023-01-01,12
2023-01-08,9
2023-01-15,8
2023-01-22,8
2023-01-29,8
2023-02-05,11
2023-02-12,12
2023-02-19,10
2023-02-26,8
2023-03-05,7
2023-03-12,6
2023-03-19,7
2023-03-26,6
2023-04-02,7
2023-04-09,6
2023-04-16,16
2023-04-23,28
2023-04-30,23
2023-05-07,14
2023-05-14,8
2023-05-21,7
2023-05-28,7
2023-06-04,6
2023-06-11,6
2023-06-18,6
2023-06-25,6
2023-07-02,6
2023-07-09,6
2023-07-16,6
2023-07-23,6
2023-07-30,6
2023-08-06,6
2023-08-13,6
2023-08-20,5
2023-08-27,6
2023-09-03,5
2023-09-10,5
2023-09-17,5
2023-09-24,4
2023-10-01,4
2023-10-08,4
2023-10-15,4
2023-10-22,4
2023-10-29,4
2023-11-05,4
2023-11-12,4
2023-11-19,4
2023-11-26,4
2023-12-03,4
2023-12-10,4
2023-12-17,4
2023-12-24,5
2023-12-31,5
2024-01-07,4
2024-01-14,5
2024-01-21,5
2024-01-28,4
2024-02-04,4
2024-02-11,4
2024-02-18,4
2024-02-25,4
2024-03-03,4
2024-03-10,4
2024-03-17,4
2024-03-24,4
2024-03-31,5
2024-04-07,4
2024-04-14,3
2024-04-21,4
2024-04-28,4
2024-05-05,4
2024-05-12,3
2024-05-19,3
2024-05-26,3
2024-06-02,3
2024-06-09,3
2024-06-16,3
2024-06-23,3
2024-06-30,3
