Category: All categories

Week,Alan Wake 2: (Worldwide)
2023-01-01,<1
2023-01-08,<1
2023-01-15,<1
2023-01-22,<1
2023-01-29,<1
2023-02-05,<1
2023-02-12,<1
2023-02-19,<1
2023-02-26,<1
2023-03-05,<1
2023-03-12,<1
2023-03-19,<1
2023-03-26,<1
2023-04-02,<1
2023-04-09,<1
2023-04-16,<1
2023-04-23,<1
2023-04-30,<1
2023-05-07,<1
2023-05-14,<1
2023-05-21,6
2023-05-28,2
2023-06-04,2
2023-06-11,2
2023-06-18,1
2023-06-25,1
2023-07-02,1
2023-07-09,1
2023-07-16,1
2023-07-23,1
2023-07-30,1
2023-08-06,1
2023-08-13,1
2023-08-20,4
2023-08-27,2
2023-09-03,2
2023-09-10,2
2023-09-17,2
2023-09-24,4
2023-10-01,5
2023-10-08,6
2023-10-15,10
2023-10-22,84
2023-10-29,100
2023-11-05,54
2023-11-12,47
2023-11-19,36
2023-11-26,26
2023-12-03,36
2023-12-10,31
2023-12-17,28
2023-12-24,31
2023-12-31,29
2024-01-07,20
