Category: All categories

Week,Alan Wake 2: (Worldwide)
2023-01-01,<1
2023-01-08,<1
2023-01-15,<1
2023-01-22,<1
2023-01-29,<1
2023-02-05,<1
2023-02-12,<1
2023-02-19,<1
2023-02-26,<1
2023-03-05,<1
2023-03-12,<1
2023-03-19,<1
2023-03-26,<1
2023-04-02,<1
2023-04-09,<1
2023-04-16,<1
2023-04-23,<1
2023-04-30,<1
2023-05-07,<1
2023-05-14,<1
2023-05-21,9
2023-05-28,4
2023-06-04,5
2023-06-11,3
2023-06-18,1
2023-06-25,1
2023-07-02,1
2023-07-09,1
2023-07-16,1
2023-07-23,1
2023-07-30,1
2023-08-06,1
2023-08-13,1
2023-08-20,6
2023-08-27,3
2023-09-03,3
2023-09-10,3
2023-09-17,2
2023-09-24,3
2023-10-01,3
2023-10-08,4
2023-10-15,6
2023-10-22,81
2023-10-29,100
2023-11-05,56
2023-11-12,46
2023-11-19,34
2023-11-26,26
2023-12-03,28
2023-12-10,30
2023-12-17,23
2023-12-24,23
2023-12-31,22
2024-01-07,19
