Category: All categories

Week,Assassin's Creed Mirage: (Worldwide)
2023-01-01,15
2023-01-08,13
2023-01-15,14
2023-01-22,0
2023-01-29,12
2023-02-05,12
2023-02-12,11
2023-02-19,12
2023-02-26,10
2023-03-05,11
2023-03-12,14
2023-03-19,8
2023-03-26,8
2023-04-02,11
2023-04-09,9
2023-04-16,12
2023-04-23,11
2023-04-30,18
2023-05-07,0
2023-05-14,10
2023-05-21,25
2023-05-28,19
2023-06-04,16
2023-06-11,17
2023-06-18,9
2023-06-25,9
2023-07-02,10
2023-07-09,0
2023-07-16,13
2023-07-23,10
2023-07-30,15
2023-08-06,0
2023-08-13,12
2023-08-20,16
2023-08-27,15
2023-09-03,0
2023-09-10,23
2023-09-17,18
2023-09-24,32
2023-10-01,100
2023-10-08,58
2023-10-15,24
2023-10-22,19
2023-10-29,15
2023-11-05,22
2023-11-12,0
2023-11-19,20
2023-11-26,0
2023-12-03,0
2023-12-10,16
2023-12-17,0
2023-12-24,12
2023-12-31,0
2024-01-07,0
