Category: All categories

Week,Assassin's Creed Mirage: (Worldwide)
2023-01-01,4
2023-01-08,4
2023-01-15,3
2023-01-22,3
2023-01-29,3
2023-02-05,3
2023-02-12,3
2023-02-19,3
2023-02-26,3
2023-03-05,2
2023-03-12,2
2023-03-19,3
2023-03-26,3
2023-04-02,3
2023-04-09,3
2023-04-16,3
2023-04-23,3
2023-04-30,3
2023-05-07,3
2023-05-14,3
2023-05-21,11
2023-05-28,7
2023-06-04,5
2023-06-11,8
2023-06-18,4
2023-06-25,3
2023-07-02,3
2023-07-09,4
2023-07-16,3
2023-07-23,3
2023-07-30,3
2023-08-06,4
2023-08-13,5
2023-08-20,5
2023-08-27,5
2023-09-03,5
2023-09-10,11
2023-09-17,11
2023-09-24,15
2023-10-01,100
2023-10-08,78
2023-10-15,35
2023-10-22,23
2023-10-29,18
2023-11-05,14
2023-11-12,14
2023-11-19,15
2023-11-26,13
2023-12-03,11
2023-12-10,12
2023-12-17,12
2023-12-24,16
2023-12-31,13
2024-01-07,9
