Category: All categories

Week,Assassin's Creed Mirage: (Worldwide)
2023-01-01,4
2023-01-08,5
2023-01-15,4
2023-01-22,4
2023-01-29,4
2023-02-05,4
2023-02-12,3
2023-02-19,3
2023-02-26,4
2023-03-05,3
2023-03-12,3
2023-03-19,4
2023-03-26,4
2023-04-02,4
2023-04-09,4
2023-04-16,3
2023-04-23,3
2023-04-30,3
2023-05-07,4
2023-05-14,5
2023-05-21,23
2023-05-28,13
2023-06-04,9
2023-06-11,20
2023-06-18,7
2023-06-25,6
2023-07-02,6
2023-07-09,7
2023-07-16,5
2023-07-23,5
2023-07-30,5
2023-08-06,5
2023-08-13,7
2023-08-20,9
2023-08-27,7
2023-09-03,7
2023-09-10,16
2023-09-17,12
2023-09-24,16
2023-10-01,100
2023-10-08,86
2023-10-15,44
2023-10-22,27
2023-10-29,19
2023-11-05,16
2023-11-12,15
2023-11-19,16
2023-11-26,14
2023-12-03,12
2023-12-10,13
2023-12-17,12
2023-12-24,15
2023-12-31,13
2024-01-07,11
