Category: All categories

Week,Atomic Heart: (Worldwide)
2023-01-01,2
2023-01-08,4
2023-01-15,5
2023-01-22,4
2023-01-29,5
2023-02-05,7
2023-02-12,9
2023-02-19,100
2023-02-26,72
2023-03-05,47
2023-03-12,29
2023-03-19,23
2023-03-26,15
2023-04-02,11
2023-04-09,9
2023-04-16,7
2023-04-23,6
2023-04-30,5
2023-05-07,5
2023-05-14,4
2023-05-21,4
2023-05-28,4
2023-06-04,4
2023-06-11,3
2023-06-18,3
2023-06-25,3
2023-07-02,3
2023-07-09,3
2023-07-16,3
2023-07-23,3
2023-07-30,8
2023-08-06,7
2023-08-13,5
2023-08-20,4
2023-08-27,3
2023-09-03,3
2023-09-10,3
2023-09-17,3
2023-09-24,2
2023-10-01,2
2023-10-08,2
2023-10-15,2
2023-10-22,2
2023-10-29,2
2023-11-05,2
2023-11-12,2
2023-11-19,2
2023-11-26,2
2023-12-03,2
2023-12-10,2
2023-12-17,2
2023-12-24,2
2023-12-31,3
2024-01-07,2
2024-01-14,2
2024-01-21,2
2024-01-28,2
2024-02-04,6
2024-02-11,5
2024-02-18,4
2024-02-25,3
2024-03-03,2
2024-03-10,2
2024-03-17,2
2024-03-24,2
2024-03-31,2
2024-04-07,2
2024-04-14,2
2024-04-21,2
2024-04-28,2
2024-05-05,2
2024-05-12,1
2024-05-19,2
2024-05-26,1
2024-06-02,1
2024-06-09,1
2024-06-16,1
2024-06-23,1
2024-06-30,1
