Category: All categories

Week,Baldur's Gate 3: (Worldwide)
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,3
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,3
2023-04-09,0
2023-04-16,3
2023-04-23,0
2023-04-30,0
2023-05-07,4
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,4
2023-06-11,4
2023-06-18,3
2023-06-25,7
2023-07-02,15
2023-07-09,24
2023-07-16,24
2023-07-23,24
2023-07-30,89
2023-08-06,100
2023-08-13,88
2023-08-20,62
2023-08-27,65
2023-09-03,68
2023-09-10,50
2023-09-17,55
2023-09-24,41
2023-10-01,34
2023-10-08,28
2023-10-15,28
2023-10-22,23
2023-10-29,29
2023-11-05,23
2023-11-12,27
2023-11-19,24
2023-11-26,27
2023-12-03,59
2023-12-10,35
2023-12-17,37
2023-12-24,50
2023-12-31,37
2024-01-07,28
