Category: All categories

Week,Baldur's Gate 3: (Worldwide)
2023-01-01,1
2023-01-08,1
2023-01-15,1
2023-01-22,1
2023-01-29,<1
2023-02-05,<1
2023-02-12,<1
2023-02-19,1
2023-02-26,1
2023-03-05,1
2023-03-12,1
2023-03-19,1
2023-03-26,1
2023-04-02,1
2023-04-09,1
2023-04-16,1
2023-04-23,<1
2023-04-30,1
2023-05-07,<1
2023-05-14,<1
2023-05-21,<1
2023-05-28,<1
2023-06-04,1
2023-06-11,1
2023-06-18,1
2023-06-25,2
2023-07-02,3
2023-07-09,5
2023-07-16,6
2023-07-23,8
2023-07-30,41
2023-08-06,100
2023-08-13,95
2023-08-20,76
2023-08-27,71
2023-09-03,70
2023-09-10,61
2023-09-17,51
2023-09-24,43
2023-10-01,37
2023-10-08,33
2023-10-15,29
2023-10-22,26
2023-10-29,24
2023-11-05,23
2023-11-12,23
2023-11-19,22
2023-11-26,22
2023-12-03,32
2023-12-10,34
2023-12-17,36
2023-12-24,47
2023-12-31,48
2024-01-07,42
