Category: All categories

Week,Crime Boss: Rockay City: (Worldwide)
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,23
2023-06-18,26
2023-06-25,20
2023-07-02,18
2023-07-09,15
2023-07-16,13
2023-07-23,12
2023-07-30,10
2023-08-06,7
2023-08-13,7
2023-08-20,9
2023-08-27,10
2023-09-03,26
2023-09-10,19
2023-09-17,13
2023-09-24,8
2023-10-01,8
2023-10-08,6
2023-10-15,6
2023-10-22,6
2023-10-29,6
2023-11-05,8
2023-11-12,8
2023-11-19,8
2023-11-26,6
2023-12-03,6
2023-12-10,5
2023-12-17,12
2023-12-24,8
2023-12-31,7
2024-01-07,6
2024-01-14,5
2024-01-21,3
2024-01-28,5
2024-02-04,5
2024-02-11,5
2024-02-18,5
2024-02-25,4
2024-03-03,3
2024-03-10,4
2024-03-17,4
2024-03-24,5
2024-03-31,5
2024-04-07,4
2024-04-14,6
2024-04-21,5
2024-04-28,5
2024-05-05,15
2024-05-12,23
2024-05-19,39
2024-05-26,27
2024-06-02,19
2024-06-09,16
2024-06-16,100
2024-06-23,68
2024-06-30,45
