Category: All categories

Week,Dead Space: (Worldwide)
2023-01-01,7
2023-01-08,11
2023-01-15,12
2023-01-22,100
2023-01-29,94
2023-02-05,42
2023-02-12,27
2023-02-19,23
2023-02-26,13
2023-03-05,10
2023-03-12,8
2023-03-19,7
2023-03-26,7
2023-04-02,6
2023-04-09,6
2023-04-16,5
2023-04-23,5
2023-04-30,5
2023-05-07,4
2023-05-14,5
2023-05-21,5
2023-05-28,4
2023-06-04,4
2023-06-11,4
2023-06-18,3
2023-06-25,4
2023-07-02,4
2023-07-09,4
2023-07-16,4
2023-07-23,4
2023-07-30,4
2023-08-06,4
2023-08-13,3
2023-08-20,4
2023-08-27,4
2023-09-03,3
2023-09-10,4
2023-09-17,3
2023-09-24,3
2023-10-01,3
2023-10-08,4
2023-10-15,5
2023-10-22,10
2023-10-29,11
2023-11-05,8
2023-11-12,7
2023-11-19,8
2023-11-26,6
2023-12-03,6
2023-12-10,5
2023-12-17,6
2023-12-24,9
2023-12-31,8
2024-01-07,5
