Category: All categories

Week,Dead Space: (Worldwide)
2023-01-01,5
2023-01-08,10
2023-01-15,10
2023-01-22,91
2023-01-29,100
2023-02-05,50
2023-02-12,30
2023-02-19,22
2023-02-26,14
2023-03-05,11
2023-03-12,10
2023-03-19,8
2023-03-26,5
2023-04-02,6
2023-04-09,5
2023-04-16,5
2023-04-23,5
2023-04-30,4
2023-05-07,4
2023-05-14,5
2023-05-21,6
2023-05-28,5
2023-06-04,4
2023-06-11,3
2023-06-18,3
2023-06-25,4
2023-07-02,4
2023-07-09,4
2023-07-16,3
2023-07-23,3
2023-07-30,3
2023-08-06,3
2023-08-13,3
2023-08-20,3
2023-08-27,3
2023-09-03,3
2023-09-10,3
2023-09-17,3
2023-09-24,2
2023-10-01,3
2023-10-08,3
2023-10-15,4
2023-10-22,7
2023-10-29,10
2023-11-05,7
2023-11-12,6
2023-11-19,6
2023-11-26,6
2023-12-03,5
2023-12-10,5
2023-12-17,5
2023-12-24,7
2023-12-31,6
2024-01-07,5
