Category: All categories

Week,Diablo IV: (Worldwide)
2023-01-01,3
2023-01-08,4
2023-01-15,3
2023-01-22,3
2023-01-29,2
2023-02-05,3
2023-02-12,5
2023-02-19,4
2023-02-26,8
2023-03-05,6
2023-03-12,22
2023-03-19,28
2023-03-26,20
2023-04-02,8
2023-04-09,7
2023-04-16,10
2023-04-23,8
2023-04-30,7
2023-05-07,16
2023-05-14,16
2023-05-21,16
2023-05-28,65
2023-06-04,100
2023-06-11,53
2023-06-18,37
2023-06-25,58
2023-07-02,37
2023-07-09,26
2023-07-16,57
2023-07-23,34
2023-07-30,21
2023-08-06,23
2023-08-13,20
2023-08-20,11
2023-08-27,8
2023-09-03,10
2023-09-10,8
2023-09-17,6
2023-09-24,9
2023-10-01,11
2023-10-08,7
2023-10-15,27
2023-10-22,14
2023-10-29,12
2023-11-05,11
2023-11-12,10
2023-11-19,12
2023-11-26,7
2023-12-03,10
2023-12-10,5
2023-12-17,6
2023-12-24,6
2023-12-31,8
2024-01-07,7
