Category: All categories

Week,Diablo IV: (Worldwide)
2023-01-01,1
2023-01-08,1
2023-01-15,1
2023-01-22,1
2023-01-29,1
2023-02-05,1
2023-02-12,1
2023-02-19,2
2023-02-26,2
2023-03-05,3
2023-03-12,14
2023-03-19,22
2023-03-26,12
2023-04-02,2
2023-04-09,2
2023-04-16,2
2023-04-23,2
2023-04-30,2
2023-05-07,8
2023-05-14,7
2023-05-21,6
2023-05-28,39
2023-06-04,100
2023-06-11,72
2023-06-18,52
2023-06-25,42
2023-07-02,34
2023-07-09,26
2023-07-16,33
2023-07-23,26
2023-07-30,18
2023-08-06,15
2023-08-13,11
2023-08-20,7
2023-08-27,7
2023-09-03,5
2023-09-10,4
2023-09-17,4
2023-09-24,3
2023-10-01,4
2023-10-08,4
2023-10-15,11
2023-10-22,12
2023-10-29,10
2023-11-05,9
2023-11-12,7
2023-11-19,7
2023-11-26,7
2023-12-03,6
2023-12-10,4
2023-12-17,4
2023-12-24,5
2023-12-31,4
2024-01-07,3
