Category: All categories

Week,Diablo IV: (Worldwide)
2023-01-01,2
2023-01-08,2
2023-01-15,2
2023-01-22,2
2023-01-29,1
2023-02-05,1
2023-02-12,2
2023-02-19,3
2023-02-26,4
2023-03-05,6
2023-03-12,17
2023-03-19,26
2023-03-26,15
2023-04-02,5
2023-04-09,4
2023-04-16,4
2023-04-23,3
2023-04-30,3
2023-05-07,8
2023-05-14,10
2023-05-21,12
2023-05-28,50
2023-06-04,100
2023-06-11,78
2023-06-18,55
2023-06-25,42
2023-07-02,37
2023-07-09,26
2023-07-16,33
2023-07-23,28
2023-07-30,18
2023-08-06,16
2023-08-13,13
2023-08-20,9
2023-08-27,8
2023-09-03,6
2023-09-10,5
2023-09-17,5
2023-09-24,5
2023-10-01,5
2023-10-08,5
2023-10-15,15
2023-10-22,14
2023-10-29,11
2023-11-05,10
2023-11-12,8
2023-11-19,9
2023-11-26,8
2023-12-03,7
2023-12-10,6
2023-12-17,5
2023-12-24,6
2023-12-31,5
2024-01-07,4
