Category: All categories

Week,Dredge: (Worldwide)
2023-01-01,1
2023-01-08,1
2023-01-15,1
2023-01-22,1
2023-01-29,2
2023-02-05,3
2023-02-12,4
2023-02-19,3
2023-02-26,4
2023-03-05,6
2023-03-12,3
2023-03-19,7
2023-03-26,52
2023-04-02,100
2023-04-09,96
2023-04-16,98
2023-04-23,67
2023-04-30,54
2023-05-07,45
2023-05-14,36
2023-05-21,25
2023-05-28,23
2023-06-04,23
2023-06-11,24
2023-06-18,28
2023-06-25,30
2023-07-02,34
2023-07-09,31
2023-07-16,25
2023-07-23,21
2023-07-30,23
2023-08-06,28
2023-08-13,21
2023-08-20,17
2023-08-27,18
2023-09-03,16
2023-09-10,14
2023-09-17,18
2023-09-24,16
2023-10-01,17
2023-10-08,19
2023-10-15,16
2023-10-22,16
2023-10-29,20
2023-11-05,17
2023-11-12,33
2023-11-19,35
2023-11-26,34
2023-12-03,36
2023-12-10,35
2023-12-17,47
2023-12-24,56
2023-12-31,48
2024-01-07,36
2024-01-14,32
2024-01-21,27
2024-01-28,31
2024-02-04,41
2024-02-11,26
2024-02-18,27
2024-02-25,24
2024-03-03,24
2024-03-10,25
2024-03-17,25
2024-03-24,24
2024-03-31,24
2024-04-07,27
2024-04-14,27
2024-04-21,23
2024-04-28,23
2024-05-05,19
2024-05-12,18
2024-05-19,19
2024-05-26,39
2024-06-02,53
2024-06-09,47
2024-06-16,43
2024-06-23,43
2024-06-30,49
