Category: All categories

Week,Dredge: (Worldwide)
2023-01-01,0
2023-01-08,1
2023-01-15,1
2023-01-22,<1
2023-01-29,2
2023-02-05,2
2023-02-12,3
2023-02-19,3
2023-02-26,3
2023-03-05,7
2023-03-12,5
2023-03-19,5
2023-03-26,40
2023-04-02,72
2023-04-09,88
2023-04-16,100
2023-04-23,75
2023-04-30,65
2023-05-07,48
2023-05-14,40
2023-05-21,27
2023-05-28,27
2023-06-04,23
2023-06-11,25
2023-06-18,26
2023-06-25,26
2023-07-02,28
2023-07-09,26
2023-07-16,20
2023-07-23,17
2023-07-30,20
2023-08-06,22
2023-08-13,15
2023-08-20,14
2023-08-27,14
2023-09-03,13
2023-09-10,13
2023-09-17,16
2023-09-24,13
2023-10-01,15
2023-10-08,17
2023-10-15,13
2023-10-22,14
2023-10-29,17
2023-11-05,15
2023-11-12,25
2023-11-19,34
2023-11-26,30
2023-12-03,27
2023-12-10,26
2023-12-17,30
2023-12-24,29
2023-12-31,28
2024-01-07,25
2024-01-14,23
2024-01-21,20
2024-01-28,23
2024-02-04,23
2024-02-11,20
2024-02-18,29
2024-02-25,19
2024-03-03,19
2024-03-10,18
2024-03-17,18
2024-03-24,18
2024-03-31,18
2024-04-07,19
2024-04-14,19
2024-04-21,18
2024-04-28,16
2024-05-05,16
2024-05-12,14
2024-05-19,17
2024-05-26,25
2024-06-02,32
2024-06-09,36
2024-06-16,29
2024-06-23,29
2024-06-30,36
