Category: All categories

Week,Final Fantasy XVI: (Worldwide)
2023-01-01,4
2023-01-08,5
2023-01-15,0
2023-01-22,6
2023-01-29,5
2023-02-05,0
2023-02-12,5
2023-02-19,0
2023-02-26,12
2023-03-05,5
2023-03-12,0
2023-03-19,8
2023-03-26,8
2023-04-02,6
2023-04-09,8
2023-04-16,7
2023-04-23,8
2023-04-30,9
2023-05-07,9
2023-05-14,11
2023-05-21,20
2023-05-28,21
2023-06-04,23
2023-06-11,52
2023-06-18,100
2023-06-25,72
2023-07-02,41
2023-07-09,30
2023-07-16,23
2023-07-23,19
2023-07-30,16
2023-08-06,12
2023-08-13,15
2023-08-20,10
2023-08-27,9
2023-09-03,15
2023-09-10,8
2023-09-17,6
2023-09-24,8
2023-10-01,7
2023-10-08,6
2023-10-15,0
2023-10-22,0
2023-10-29,5
2023-11-05,6
2023-11-12,9
2023-11-19,7
2023-11-26,0
2023-12-03,17
2023-12-10,7
2023-12-17,10
2023-12-24,11
2023-12-31,9
2024-01-07,8
